关系样本ID,事件样本ID,查询ID,公司,证券代码,检索截止时间,查询假设,候选文档ID,候选公告标题,候选发布日期,候选原文链接,关键证据定位,关键证据原文
V6-R-Q001-C04,V6-E-002594-C04,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00338,关于“质量回报双提升”行动方案的进展公告,2026-03-28T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2026-03-28/1225045367.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2026-014 比亚迪股份有限公司 关于“质量回报双提升”行动方案的进展公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”或“比亚迪”）为践 行中央政治局会议提出的“要活跃资本市场、提振投资者信心”及国常会提出的 “要大力提升上市公司质量和投资价值，要采取更加有力有效措施，着力稳市场、 稳信心”的指导思想，结合公司发展战略、经营情况及财务情况，为维护公司全 体股东利益，增强投资者信心，促进公司长远健康可持续发展，公司制定了“质 量回报双提升”行动方案（以下简称“行动方案”），并于2024年2月19日在《证 券时报》、《中国证券报》、《上海证券报》、《证券日报》及巨潮资讯网 （www.cninfo.com.cn）披露《关于“质量回报双提升”行动方案的公告》（公 告编号：2024-014）。现将行动方案的2025年进展情况公告如下： 一、坚持技术创新，开启高质量发展新纪元 “技术为王，创新为本”是公司发展的核心理念，也是公司发展的不竭动力。 2025 年，凭借长期的技术积累，依托全产业链布局的独特优势，公司卫冕中国 汽车市场车企、中国汽车市场品牌、全球新能源汽车市场销量“三冠王”，并历 史性登顶全球纯电动汽车市场销量榜首，彰显出强大的市场主导力。2025 年公 司继续保持高强度研发投入，夯实智能化上半场，开拓智能化下半场…
V6-R-Q001-C06,V6-E-002594-C06,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00269,关于增加外汇衍生品交易业务额度的可行性分析报告,2025-08-02T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-08-02/1224368798.PDF,第1页,比亚迪股份有限公司 关于增加外汇衍生品交易业务额度的可行性分析报告 一、 公司增加外汇衍生品交易业务额度的背景 比亚迪股份有限公司 （以下简称 “公司” ）及控股子公司海外业务快速发展， 外汇风险敞口不断扩大，加之 2025 年以来，国际政治、经济形势复杂多变，汇 率和利率波动加剧，公司的外汇风险敞口管理需求也进一步增加。 公司以汇率风险中性为管理原则，为控制风险，拟增加外汇衍生品交易业务 额度以及预计占用的授信额度。公司开展的外汇衍生品交易与日常经营需求紧密 相关，是基于公司外币资产、负债状况以及外汇收支业务情况进行，能够提高公 司积极应对风险的能力，增强公司财务稳健性。 二、 公司增加外汇衍生品交易业务额度的基本情况 （一）交易金额： 公司及控股子公司拟开展的外汇衍生品交易业务额度由等值 100 亿美元增 加至等值 120 亿美元， 额度使用期限自该事项获第八届董事会第十九次会议审议 通过之日起 12 个月内。上述额度在期限内可循环滚动使用，但期限内任一时点 的投资余额不超过等值 120 亿美元。 （二）交易类型： 公司开展的外汇衍生品交易类型包括：远期、掉期、期权及相关组合产品。 （三）合约期限： 与基础交易期限相匹配，一般不超过三年。 （四）预计动用的交易保证金和权利金： 所涉及的外汇衍生品仅占用公司及控股子公司在合作金融机构的授信额度， 不需要缴纳保证金，在授权期限内任一时点预计占用的授信额度由不超过等值5 亿美元增加至不超过等值 6 亿美元。
V6-R-Q001-C05,V6-E-002594-C05,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00238,2025年一季度报告,2025-04-26T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309368.PDF,第3页,"比亚迪股份有限公司 2025 年第一季度报告 3 （三） 主要会计数据和财务指标发生变动的情况及原因 适用 □不适用 资产负债表 单位：元 科目名称 2025/3/31 2024/12/31 变动率 变动原因 应收款项融资 5,736,785,000.00 10,449,966,000.00 -45.10% 主要是票据背书和贴现增加所致 预付款项 5,182,250,000.00 3,974,023,000.00 30.40% 主要是材料采购的预付款增加所致 存货 154,373,616,000.00 116,036,237,000.00 33.04% 主要是市场订单增加备货增加所致 开发支出 859,988,000.00 508,038,000.00 69.28% 主要是资本化研发支出增加所致 损益表 单位：元 科目名称 2025 年 1-3 月 2024 年 1-3 月 变动率 变动原因 营业收入 170,360,448,000.00 124,944,397,000.00 36.35% 主要是新能源汽车业务增长所致 营业成本 136,175,385,000.00 99,074,282,000.00 37.45% 主要是新能源汽车业务增长所致 税金及附加 3,273,367,000.00 2,141,223,000.00 52.87% 主要是新能源汽车业务增长所致 管理费用 4,905,868,000.00 3,768,509,000.00 30.18% 主要是职工薪酬…"
V6-R-Q001-C02,V6-E-002594-C02,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00165,关于开展外汇衍生品套期保值交易业务的公告,2025-01-25T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-01-25/1222430444.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2025-003 比亚迪股份有限公司 关于开展外汇衍生品套期保值交易业务的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏。 重要内容提示： 1、交易类型：比亚迪股份有限公司（以下简称“公司” ）及控股子公司拟开 展外汇衍生品交易业务的衍生品交易类型包括：远期、掉期、期权及相关组合产 品。 2、交易金额、交易保证金及权利金：公司及控股子公司拟开展的外汇衍生 品交易业务额度为等值50亿美元， 额度使用期限自该事项获第八届董事会第十三 次会议审议通过之日起12个月内（以下简称“期限内” ） 。上述额度在期限内可循 环滚动使用，但期限内任一时点的投资余额不超过等值50亿美元；所涉及的外汇 衍生品仅占用公司及控股子公司在合作金融机构的授信额度， 不需要缴纳保证金， 在授权期限内任一时点预计占用的授信额度不超过等值2.5亿美元。 3、风险提示：本交易无本金或收益保证，在交易过程中存在市场风险、流 动性风险、履约风险等，敬请投资者注意投资风险。 一、外汇衍生品交易业务情况概述 1、交易目的：海外业务不断拓展，全球产业布局的稳步推进，外汇收支规 模呈现出不断增长的态势。在此过程中，收支结算所涉及的币别增多，外币收支 期限较难契合，双重因素引起外汇风险敞口不断扩大。加之国际政治、经济形势 复杂多变，汇率与利率的波动幅度愈发加大，进一步使得公司面临的外汇风险显 著增加。为规避汇率大幅波动对公司造成…
V6-R-Q001-C03,V6-E-002594-C03,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00223,关于召开2024年年度报告网上说明会并征集问题的公告,2025-03-29T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-03-29/1222945849.PDF,第1页,证券代码：002594 证券简称：比亚迪 公告编号：2025-027 比亚迪股份有限公司 关于召开2024年年度报告网上说明会并征集问题的公告 本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“公司” ）已于2025年3月25日在巨潮资讯网 (www.cninfo.com.cn)披露公司《2024年年度报告》全文及其摘要，供全体股东和 投资者查询参阅。 为使广大投资者进一步详细了解公司年报信息，公司将于2025年4月2日（星 期三）下午15：00-17:00通过路演中的路演中心平台举行2024年年度报告网上说 明会。 本次说明会将采用网络远程方式举行， 投资者可登陆 “路演中-路演中心” （参会链接：https://www.roadshowchina.cn/Meet/detail.html?mid=24955） 参与本次说明会。 同时，为更高质量的与投资者沟通交流、提高投资者的参会体验，公司现就 2024年度业绩和经营情况提前向投资者征集相关问题。 投资者可扫描下方二维码， 进入问题征集页面。 公司将于2024年年度报告网上说明会上对投资者普遍关注的 问题进行回答。 出席本次说明会的人员有：公司董事长兼总裁王传福先生、独立董事张敏先 生、高级副总裁兼财务总监周亚琳女士、董事会秘书及公司秘书李黔先生、证券 事务代表吴越先生。
V6-R-Q001-C10,V6-E-002594-C10,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00390,2026年7月产销快报,2026-08-03T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2026-08-03/1225452785.PDF,第1页,"证券代码：002594 证券简称：比亚迪 公告编号：2026-027 比亚迪股份有限公司 2026年7月产销快报 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年7月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 420,249 317,892 2,234,379 2,454,925 -8.98% 419,211 344,296 2,227,722 2,490,250 -10.54% -乘用车 411,791 315,269 2,196,092 2,418,378 -9.19% 411,072 341,030 2,188,447 2,454,301 -10.83% -纯电动 233,785 160,050 1,104,529 1,188,464 -7.06% 233,105 177,887 1,100,584 1,201,268 -8.38% -插电式混合动力 178,006 155,219 1,091,563 1,229,914 -11.25% 177,967 163,143 1,087,863 1,253,033 -13.18% -商用车 8,458 2,623 38,287 36,547 4.76% 8,139 3,266 39,275 35,949 9.25% -…"
V6-R-Q001-C07,V6-E-002594-C07,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00274,H股公告（二零二五年中期业绩公告）,2025-08-30T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-08-30/1224626656.PDF,第35页,"nt company increased by 13.79% as compared to the same period of previous year, mainly attributable to the growth of the new energy vehicle business. Segmental Information Comparisons of the Group’s revenue by product categories for the six months ended 30 June 2025 and 2024 are illustrated as follows: 2025H1 2024H1 2025H1 18.51% Mobile handset components, assembly and other products 81.48% Automobiles and related products, and other products 二零二五年上半年 手機部件、組裝及 其他產品 汽車、汽車相關產品 及其他產品 2024H1 24.17% Mobile handset components, assembly and other products 75.82% Automobiles and related products, and other products 二零二四年上半年 手機部件、組裝及 其他產品 汽車、汽車相關產品…"
V6-R-Q001-C01,V6-E-002594-C01,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00017,关于“质量回报双提升”行动方案的公告,2024-02-19T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2024-02-19/1219137500.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2024-014 比亚迪股份有限公司 关于“质量回报双提升”行动方案的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”或“比亚迪”）为践 行中央政治局会议提出的“要活跃资本市场、提振投资者信心”及国常会提出的 “要大力提升上市公司质量和投资价值，要采取更加有力有效措施，着力稳市场、 稳信心”的指导思想，结合公司发展战略、经营情况及财务情况，为维护公司全 体股东利益，增强投资者信心，促进公司长远健康可持续发展，公司“质量回报 双提升”行动方案如下： 一、践行长期主义，做大做强主业 比亚迪经过三十年的发展，已成长为业务横跨汽车、电子、新能源和轨道交 通四大领域的世界 500 强企业。比亚迪作为全球新能源汽车的领导企业，始终致 力于在新能源汽车技术研发和市场应用上引领产业变革和行业潮流，推动新能源 汽车产业的蓬勃发展。 公司投资价值是核心竞争力的重要要素，在为股东提供良好回报的同时，也 大大提升了公司在资本市场的品牌形象，对公司产品市场的拓展也有积极意义。 与中国证监会一直以来倡导的长期投资理念相契合，新能源汽车行业同样需要长 期的研发投入及品牌建设，方可打造核心竞争力，助力国家“双碳”目标的达成。 在新能源汽车领域，公司用二十余年的专注和坚守，通过持续的技术创新，开发 出多项颠覆性技术和产品，推动品牌向上，2023 年新…
V6-R-Q001-C09,V6-E-002594-C09,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00317,关于召开2025年第二次临时股东会的通知,2025-11-13T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-11-13/1224801089.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2025-061 比亚迪股份有限公司 关于召开2025年第二次临时股东会的通知 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“公司”）于 2025 年 10 月 30 日召开第八 届董事会第二十一次会议，决定于 2025 年 12 月 5 日（星期五）召开公司 2025 年第二次临时股东会（以下简称“本次股东会”），现将有关事项通知如下： 一、召开会议的基本情况 1、股东会届次：2025 年第二次临时股东会。 2、股东会的召集人：公司董事会。 3、会议召开的合法、合规性：本次股东会的召开符合有关法律、行政法规、 部门规章、规范性文件和《公司章程》的规定。 4、会议时间： （1）现场会议时间：2025 年 12 月 5 日（星期五）上午 10:00。 （2）网络投票时间：通过深圳证券交易所（以下简称“深交所”）交易系 统进行网络投票的具体时间为 2025 年 12 月 5 日上午 9:15—9:25、9:30—11:30 和下午 13:00-15:00；通过互联网投票系统投票的具体时间为 2025 年 12 月 5 日 9:15 至 15:00 的任意时间。 5、会议召开方式：现场投票与网络投票相结合。 公司将通过深交所交易系统和互联网投票系统（http://wltp.cninfo.com. cn）向公司 A 股股东提供网络形式的投票平台，…
V6-R-Q001-C08,V6-E-002594-C08,V6-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,动力电池外供与储能业务能否形成第二增长曲线,DOC-EVT-002594-00215,2024年年度报告,2025-03-25T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-03-25/1222881496.PDF,第22页,比亚迪股份有限公司 2024 年年度报告全文 22 消费电子业务方面，本集团凭借领先的技术优势和强大的制造能力，深度参与客户的新产品开发，助力客户提升产品 竞争力。本集团持续深耕安卓高端市场，为客户提供高品质的全方位服务，年内，受国内和海外客户需求增长驱动，安卓 零部件和整机组装业务均实现增长。海外大客户业务方面，凭借卓越的业务能力，本集团的业务份额持续提升，带动出货 量和收入同比增长。此外，随着本集团并表二零二三年年底完 成收购的业务，拉动零部件业务规模快速扩大，并通过资源 整合和自动化快速提升运营效率。 新型智能产品业务方面，本集团持续加强与各板块的行业头部客户的战略合作，无人机、智能家居、游戏硬件等业务 板块均保持稳健发展。同时，本集团持续发力新产品研发，抢抓市场机遇，积极拓展新业务，持续完善在 AI数据中心、AI 机器人等赛道的布局。其中，3D打印机、AI服务器于年内实现量产，液冷和电源产品完成开发，为本集团业务增长注入新 动力。 二、报告期内公司从事的主要业务 公司需遵守《深圳证券交易所上市公司自律监管指引第 3 号——行业信息披露》中汽车制造相关业的披露要求 本集团主要从事以新能源汽车为主的汽车业务，手机部件及组装业务，二次充电电池及光伏业务，同时利用自身的技 术优势拓展城市轨道交通业务领域。 作为全球新能源汽车行业先行者和领导者，本集团凭借在汽车电动化及智能化等关键领域的雄厚技术积累，通过技术 的持续创新，打造出长期、可持续的核心竞争优势，夯实了本集团于全球新…
