task_id,description,manual_minutes,recorded_by,recorded_at,note
TASK-688981-2024Q1,筛选 中芯国际 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-688981-2024Q2,筛选 中芯国际 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-688981-2024Q3,筛选 中芯国际 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-688981-2024Q4,筛选 中芯国际 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-688981-2025Q1,筛选 中芯国际 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-688981-2025Q2,筛选 中芯国际 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-688981-2025Q3,筛选 中芯国际 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-603986-2024Q1,筛选 兆易创新 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-603986-2024Q2,筛选 兆易创新 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-603986-2024Q3,筛选 兆易创新 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-603986-2024Q4,筛选 兆易创新 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-603986-2025Q1,筛选 兆易创新 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-603986-2025Q2,筛选 兆易创新 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-603986-2025Q3,筛选 兆易创新 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-002371-2024Q1,筛选 北方华创 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-002371-2024Q2,筛选 北方华创 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-002371-2024Q3,筛选 北方华创 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-002371-2024Q4,筛选 北方华创 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-002371-2025Q1,筛选 北方华创 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-002371-2025Q2,筛选 北方华创 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-002371-2025Q3,筛选 北方华创 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-600276-2024Q1,筛选 恒瑞医药 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-600276-2024Q2,筛选 恒瑞医药 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-600276-2024Q3,筛选 恒瑞医药 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-600276-2024Q4,筛选 恒瑞医药 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-600276-2025Q1,筛选 恒瑞医药 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-600276-2025Q2,筛选 恒瑞医药 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-600276-2025Q3,筛选 恒瑞医药 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-603259-2024Q1,筛选 药明康德 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-603259-2024Q2,筛选 药明康德 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-603259-2024Q3,筛选 药明康德 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-603259-2024Q4,筛选 药明康德 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-603259-2025Q1,筛选 药明康德 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-603259-2025Q2,筛选 药明康德 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-603259-2025Q3,筛选 药明康德 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-000538-2024Q1,筛选 云南白药 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-000538-2024Q2,筛选 云南白药 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-000538-2024Q3,筛选 云南白药 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-000538-2024Q4,筛选 云南白药 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-000538-2025Q1,筛选 云南白药 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-000538-2025Q2,筛选 云南白药 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-000538-2025Q3,筛选 云南白药 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-002594-2024Q1,筛选 比亚迪 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-002594-2024Q2,筛选 比亚迪 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-002594-2024Q3,筛选 比亚迪 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-002594-2024Q4,筛选 比亚迪 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-002594-2025Q1,筛选 比亚迪 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-002594-2025Q2,筛选 比亚迪 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-002594-2025Q3,筛选 比亚迪 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-00175-2024Q1,筛选 吉利汽车 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-00175-2024Q2,筛选 吉利汽车 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-00175-2024Q3,筛选 吉利汽车 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-00175-2024Q4,筛选 吉利汽车 2024Q4 与核心假设相关的事件并判断方向,,,,
