序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
1,G3-R-E068-H2,G3-E068,002594-H2,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,2-间接相关,是,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年3月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -33.02% 300,222 377,420 700,463 1,000,804 -30.01% -乘用车 295,412 388,877 695,772 1,041,899 -33.22% 295,693 371,419 688,993 986,098 -30.13% -纯电动…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
2,G3-R-E052-H2,G3-E052,600276-H2,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,2-间接相关,是,"第1页：eg Health West Pac, 2023, 39: 100822. 证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-024 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发富马酸泰吉利定注射液的《药品注 册证书》，批准公司自主研发的 1 类创新药富马酸泰吉利定注射液新增适应症， 并合并修订说明书适应症为用于治疗术后中重度疼痛",新增适应症获批可经销售放量和创新药占比提升影响毛利率，存在清晰商业化路径，但未披露实际销售或毛利率。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
3,G3-R-E101-H3,G3-E101,00175-H3,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,1-弱相关,否,"第1页：核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 217,438 224,718 -3 217,438 224,718 -3 其中: 銀河 82,990 93,545 -11 82,990 93,545 -11 領…",一月销量及品牌结构变化未披露整合计划、协同或整合损益，无法建立到H3的可靠业务路径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
4,G3-R-E012-H3,G3-E012,00175-H3,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,1-弱相关,否,"第1页：186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,279 70 其中： 出口 30,017 37,495 -20 144,103 163,601 -12",分品牌销量可反映经营表现，但不能直接或经单一充分因果链证明品牌平台整合按计划或不存在整合损失，故为弱相关、路径不成立。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
5,G3-R-E067-H1,G3-E067,002371-H1,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,0-无关,否,第1页：证券代码：002371 证券简称：北方华创 公告编号：2026-033 北方华创科技集团股份有限公司 关于放弃参股公司增资优先认购权暨关联交易的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或者重大遗漏。 北方华创科技集团股份有限公司（以下简称“北方华创”或“公司”）于 2026 年 6 月 22 日召开第九届董事会第二次会议，审议通过了《关于放弃参股公 司增资优先认购权暨关联交易的议案》，关联董事李瑞先生已对该议案回避表决， 该议案已经公司独立董事专门会议审议通过。 本次关联交易不构成《上市公司重大资产重组管理办法》规定的重大资产重 组，根据《公司,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
6,G3-R-E055-H1,G3-E055,09868-H1,小鹏汽车,09868,新能源汽车,2024-08-13T20:06:10+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,2-间接相关,是,"第1页：的智能汽車開發業務資産及首次交割。除非本公告另有界定，否則 本公告所用詞彙與本公司日期為2023年8月28日之公告所界定者具有相同涵義。 收購的SOP交割 董事會欣然宣佈，本公司已於2024年7月30日開始生產量產車輛Mona以向普通客戶銷售和交付，因此 股份購買協議項下的SOP里程碑已達成。自2024年8月1日起，智能純電掀背轎跑小鵬MONA M03的首 批展車已陸續抵達全國的小鵬汽車展廳。相應地，SOP交割已於2024年8月13日發生。 根據股份購買協議，本公司已向滴滴配發及發行4,636,447股A類普通股作為SOP對價股份，佔本公司 按照經配發及發行SOP對價股份擴大後本公司已發行且發…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
7,G3-R-E055-H3,G3-E055,09868-H3,小鹏汽车,09868,新能源汽车,2024-08-13T20:06:10+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,3-直接相关,是,"第1页：的智能汽車開發業務資産及首次交割。除非本公告另有界定，否則 本公告所用詞彙與本公司日期為2023年8月28日之公告所界定者具有相同涵義。 收購的SOP交割 董事會欣然宣佈，本公司已於2024年7月30日開始生產量產車輛Mona以向普通客戶銷售和交付，因此 股份購買協議項下的SOP里程碑已達成。自2024年8月1日起，智能純電掀背轎跑小鵬MONA M03的首 批展車已陸續抵達全國的小鵬汽車展廳。相應地，SOP交割已於2024年8月13日發生。 根據股份購買協議，本公司已向滴滴配發及發行4,636,447股A類普通股作為SOP對價股份，佔本公司 按照經配發及發行SOP對價股份擴大後本公司已發行且發…",收购资产完成SOP交割且MONA已开始量产，是研发成果与产能投入落地的直接可观察里程碑，直接支持H3中的投入可持续性。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
8,G3-R-E010-H2,G3-E010,603986-H2,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,2-间接相关,是,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行…,DRAM募投项目继续实施并增资，可通过产品组合与规模效应影响毛利率，具有一层业务因果链；公告未直接给出价格、产品结构或毛利率指标。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
9,G3-R-E017-H3,G3-E017,002371-H3,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,1-弱相关,是,第4页：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销售商品与 采购原材料交易属于公司的日常业务活动， 该等交易是以市场交易价格为基础， 各方平等协商确定，定价依据合理，相关交易公平、公正，符合公司整体利益。 四、关联交易目的和对上市公司的影响 公司与上述关联方的日常关联交易是公司业务发展及生产经营的需要，对 于公司的生产经营是必要…,上游采购与配套服务对生产交付能力存在弱支撑路径，但公告未披露产能、交付进度、订单或合同负债转化，增量证据不足，评级为弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
10,G3-R-E052-H1,G3-E052,600276-H1,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,3-直接相关,是,"第1页：eg Health West Pac, 2023, 39: 100822. 证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-024 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发富马酸泰吉利定注射液的《药品注 册证书》，批准公司自主研发的 1 类创新药富马酸泰吉利定注射液新增适应症， 并合并修订说明书适应症为用于治疗术后中重度疼痛",1类创新药新增适应症获批，是研发管线推进并进入商业化的直接里程碑，直接回答H1。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
