序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
1,G3-E107,小鹏汽车,09868,新能源汽车,港股,2025-08-22T21:24:11+08:00,精确,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
2,G3-E049,比亚迪,002594,新能源汽车,A股,2024-03-02T00:00:00+08:00,仅日期（按盘后处理）,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
3,G3-E093,小鹏汽车,09868,新能源汽车,港股,2025-11-17T20:16:07+08:00,精确,委任独立非执行董事,http://static.cninfo.com.cn/finalpage/2025-11-17/1224811413.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
4,G3-E040,北方华创,002371,芯片半导体,A股,2025-11-06T00:00:00+08:00,仅日期（按盘后处理）,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
5,G3-E094,兆易创新,603986,芯片半导体,A股,2026-03-31T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
6,G3-E056,北方华创,002371,芯片半导体,A股,2025-06-25T00:00:00+08:00,仅日期（按盘后处理）,关于协议受让沈阳中科天盛自动化技术有限公司所持沈阳芯源微电子设备股份有限公司8.40%股份完成过户登记暨取得控制权的公告,http://static.cninfo.com.cn/finalpage/2025-06-25/1223974415.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
7,G3-E084,北方华创,002371,芯片半导体,A股,2024-04-13T00:00:00+08:00,仅日期（按盘后处理）,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
8,G3-E005,吉利汽车,00175,新能源汽车,港股,2026-07-01T18:12:27+08:00,精确,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
9,G3-E029,恒瑞医药,600276,医药,A股,2026-05-12T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
10,G3-E082,中芯国际,688981,芯片半导体,A股,2024-03-29T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
