序号,公司,证券代码,行业,市场,披露日期,披露时间是否精确,公告标题,原文链接,H1-需求与出货,H2-盈利质量,H3-产能与扩张,关联假设,影响方向,判断理由,标注人,标注时间
1,小鹏汽车,09868,新能源汽车,港股,2025-02-03,是,自愿公告2025年1 月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-02-03/1222455715.PDF,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,H1-需求与出货,支持,"正文披露2025年1月交付30,350辆，同比+268%，连续三个月超过3万辆。",Codex-投研标注,2026-08-11T18:00:00+08:00
2,小鹏汽车,09868,新能源汽车,港股,2025-11-03,是,自愿公告 2025年10月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-11-03/1224784838.PDF,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,H1-需求与出货,支持,"正文披露2025年10月交付42,013辆，同比+76%、环比+1%，创单月纪录。",Codex-投研标注,2026-08-11T18:00:00+08:00
3,中芯国际,688981,芯片半导体,A股,2026-02-11,否（源为00:00，按盘后处理）,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,H1-需求与出货,支持,2025年收入同比+16.2%，晶圆出货约970万片、利用率93.5%，均较上年提升。,Codex-投研标注,2026-08-11T18:00:00+08:00
4,比亚迪,002594,新能源汽车,A股,2025-04-23,否（源为00:00，按盘后处理）,第八届监事会第十一次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-04-23/1223212685.PDF,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,无关,监事会会议决议属于公司治理程序，不改变销量、毛利率或产能假设。,Codex-投研标注,2026-08-11T18:00:00+08:00
5,恒瑞医药,600276,医药,A股,2025-07-04,否（源为00:00，按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2025-07-04/1224070785.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,H1-需求与出货,支持,全氟己基辛烷滴眼液获准上市，形成可销售产品并扩充收入来源。,Codex-投研标注,2026-08-11T18:00:00+08:00
6,吉利汽车,00175,新能源汽车,港股,2025-09-24,是,非豁免持续关连交易,http://static.cninfo.com.cn/finalpage/2025-09-24/1224678561.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,无关,持续关联交易披露主要为合规与交易上限安排，未给出销量、盈利或整合结果。,Codex-投研标注,2026-08-11T18:00:00+08:00
7,北方华创,002371,芯片半导体,A股,2025-10-31,否（源为00:00，按盘后处理）,2025-2027年员工持股计划（草案）,http://static.cninfo.com.cn/finalpage/2025-10-31/1224774305.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,无关,员工持股计划属于激励安排，不直接改变订单、毛利率或交付能力。,Codex-投研标注,2026-08-11T18:00:00+08:00
8,中芯国际,688981,芯片半导体,A股,2025-12-30,否（源为00:00，按盘后处理）,国泰海通证券股份有限公司关于中芯国际集成电路制造有限公司发行股份购买资产暨关联交易报告书之独立财务顾问报告,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907023.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,H3-产能与扩张,中性,收购中芯北方49%少数股权有利于资产整合，但不直接证明扩产与需求匹配或无减值。,Codex-投研标注,2026-08-11T18:00:00+08:00
9,北方华创,002371,芯片半导体,A股,2025-04-08,是,2025年第一季度业绩预告,http://static.cninfo.com.cn/finalpage/2025-04-08/1223023085.pdf,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,H1-需求与出货,支持,一季度预计营业收入59.51亿元，同比+23.35%至+50.91%，市场份额扩大。,Codex-投研标注,2026-08-11T18:00:00+08:00
10,北方华创,002371,芯片半导体,A股,2025-11-06,否（源为00:00，按盘后处理）,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,无关,募集资金监管账户协议为资金管理程序，不构成产能落地或经营结果证据。,Codex-投研标注,2026-08-11T18:00:00+08:00
11,恒瑞医药,600276,医药,A股,2026-05-27,否（源为00:00，按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225330505.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,无关,仅获临床试验批准，尚需临床和注册审批，短期不能生产销售。,Codex-投研标注,2026-08-11T18:00:00+08:00
12,吉利汽车,00175,新能源汽车,港股,2026-01-01,是,未经审核之二零二五年十二月销量及二零二六年销量目标,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915679.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,H1-需求与出货,支持,2025年销量302.46万辆，同比+39%；新能源销量高增，2026年目标再增约14%。,Codex-投研标注,2026-08-11T18:00:00+08:00
13,云南白药,000538,医药,A股,2026-04-01,否（源为00:00，按盘后处理）,2025年年度报告摘要,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067974.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,H1-需求与出货,支持,2025年营业收入411.87亿元，同比+2.88%，符合渠道业务保持稳定、不持续负增长。,Codex-投研标注,2026-08-11T18:00:00+08:00
14,比亚迪,002594,新能源汽车,A股,2025-04-02,否（源为00:00，按盘后处理）,2025年3月产销快报,http://static.cninfo.com.cn/finalpage/2025-04-02/1222982953.PDF,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,H1-需求与出货,支持,"2025年一季度新能源车累计销量100.08万辆，同比+59.81%，3月海外销量72,723辆。",Codex-投研标注,2026-08-11T18:00:00+08:00
15,北方华创,002371,芯片半导体,A股,2025-04-26,否（源为00:00，按盘后处理）,年度募集资金使用鉴证报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309204.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,无关,募集资金使用鉴证报告属于审计鉴证文件，未单独提供新增订单或产能变化结论。,Codex-投研标注,2026-08-11T18:00:00+08:00
16,中芯国际,688981,芯片半导体,A股,2025-11-14,否（源为00:00，按盘后处理）,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,H3-产能与扩张,冲突,前三季度计提减值9.17亿元，其中存货跌价8.85亿元，构成明显资产减值信号。,Codex-投研标注,2026-08-11T18:00:00+08:00
17,中芯国际,688981,芯片半导体,A股,2024-06-29,否（源为00:00，按盘后处理）,上海市锦天城律师事务所关于2024年股东周年大会的法律意见书,http://static.cninfo.com.cn/finalpage/2024-06-29/1220502758.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,无关,股东周年大会法律意见书仅确认会议程序合法性，不涉及经营假设。,Codex-投研标注,2026-08-11T18:00:00+08:00
18,吉利汽车,00175,新能源汽车,港股,2024-11-14,是,须予披露及关连交易－战略整合交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本；及获豁免持续关连交易,http://static.cninfo.com.cn/finalpage/2024-11-14/1221724435.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,H3-产能与扩张,支持,极氪以90亿元收购领克并注资，战略整合交易实质推进品牌与平台整合。,Codex-投研标注,2026-08-11T18:00:00+08:00
19,北方华创,002371,芯片半导体,A股,2026-04-18,否（源为00:00，按盘后处理）,关于公司2026年度日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-04-18/1225122933.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,无关,日常关联交易额度是常规经营合规披露，不能单独推断订单、毛利或交付能力变化。,Codex-投研标注,2026-08-11T18:00:00+08:00
20,兆易创新,603986,芯片半导体,A股,2024-10-26,否（源为00:00，按盘后处理）,兆易创新2024年第三季度报告,http://static.cninfo.com.cn/finalpage/2024-10-26/1221524936.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,H1-需求与出货,支持,2024年前三季度营业收入同比+28.56%，报告明确需求变化带动收入显著增长。,Codex-投研标注,2026-08-11T18:00:00+08:00
21,小鹏汽车,09868,新能源汽车,港股,2026-04-16,是,致非登记股东的通知信函及申请表格,http://static.cninfo.com.cn/finalpage/2026-04-16/1225111998.PDF,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,无关,非登记股东通知信函为投资者通讯程序，不含经营信息。,Codex-投研标注,2026-08-11T18:00:00+08:00
22,药明康德,603259,医药,A股,2026-03-24,否（源为00:00，按盘后处理）,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025225.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,H1-需求与出货,支持,2025年营业收入同比+15.84%，CRDMO业务增长且临床后期和商业化项目增加。,Codex-投研标注,2026-08-11T18:00:00+08:00
23,吉利汽车,00175,新能源汽车,港股,2024-07-01,是,(I) 未经审核之二零二四年六月销量 及 (II) 修订二零二四年销量目标,http://static.cninfo.com.cn/finalpage/2024-07-01/1220512041.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,H1-需求与出货,支持,2024年6月总销量16.61万辆，同比+24%；新能源与出口分别显著增长。,Codex-投研标注,2026-08-11T18:00:00+08:00
24,兆易创新,603986,芯片半导体,A股,2026-07-22,否（源为00:00，按盘后处理）,兆易创新关于使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的公告,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435810.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,H3-产能与扩张,支持,以5亿元募集资金增资DRAM项目实施主体，属于明确的研发产业化投入落地。,Codex-投研标注,2026-08-11T18:00:00+08:00
25,兆易创新,603986,芯片半导体,A股,2025-04-26,否（源为00:00，按盘后处理）,兆易创新关于2025年度开展外汇衍生品交易业务的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305115.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,无关,外汇衍生品交易用于汇率风险管理，不改变需求、毛利率趋势或产能储备。,Codex-投研标注,2026-08-11T18:00:00+08:00
