序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
1,G3-R-E109-H1,G3-E109,09868-H1,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,,,,,,,,
2,G3-R-E082-H2,G3-E082,688981-H2,中芯国际,688981,芯片半导体,2024-03-29T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,,,,,,,,
3,G3-R-E094-H2,G3-E094,603986-H2,兆易创新,603986,芯片半导体,2026-03-31T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,,,,,,,,
4,G3-R-E033-H3,G3-E033,603259-H3,药明康德,603259,医药,2024-03-09T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,,,,,,,,
5,G3-R-E029-H2,G3-E029,600276-H2,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,,,,,,,,
6,G3-R-E043-H2,G3-E043,688981-H2,中芯国际,688981,芯片半导体,2026-05-15T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,,,,,,,,
7,G3-R-E089-H2,G3-E089,603259-H2,药明康德,603259,医药,2024-01-30T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,,,,,,,,
8,G3-R-E081-H1,G3-E081,09868-H1,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,,,,,,,,
9,G3-R-E010-H3,G3-E010,603986-H3,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,,,,,,,,
10,G3-R-E029-H3,G3-E029,600276-H3,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,,,,,,,,
11,G3-R-E070-H2,G3-E070,600276-H2,恒瑞医药,600276,医药,2024-04-10T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2024-04-10/1219549275.PDF,,,,,,,,
12,G3-R-E021-H2,G3-E021,600276-H2,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,,,,,,,,
13,G3-R-E100-H2,G3-E100,603986-H2,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,,,,,,,,
14,G3-R-E012-H2,G3-E012,00175-H2,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,,,,,,,,
15,G3-R-E009-H3,G3-E009,002594-H3,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,,,,,,,,
16,G3-R-E052-H1,G3-E052,600276-H1,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,,,,,,,,
17,G3-R-E052-H2,G3-E052,600276-H2,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,,,,,,,,
18,G3-R-E108-H2,G3-E108,688981-H2,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,,,,,,,,
19,G3-R-E060-H2,G3-E060,002594-H2,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,,,,,,,,
20,G3-R-E058-H1,G3-E058,002371-H1,北方华创,002371,芯片半导体,2025-04-26T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,,,,,,,,
21,G3-R-E017-H1,G3-E017,002371-H1,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,,,,,,,,
22,G3-R-E016-H3,G3-E016,00175-H3,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,,,,,,,,
23,G3-R-E086-H2,G3-E086,600276-H2,恒瑞医药,600276,医药,2026-05-20T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,,,,,,,,
24,G3-R-E044-H2,G3-E044,688981-H2,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,,,,,,,,
25,G3-R-E004-H1,G3-E004,603986-H1,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,,,,,,,,
26,G3-R-E084-H2,G3-E084,002371-H2,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,,,,,,,,
27,G3-R-E055-H3,G3-E055,09868-H3,小鹏汽车,09868,新能源汽车,2024-08-13T20:06:10+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,,,,,,,,
28,G3-R-E034-H3,G3-E034,603986-H3,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,,,,,,,,
29,G3-R-E034-H2,G3-E034,603986-H2,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,,,,,,,,
30,G3-R-E048-H1,G3-E048,00175-H1,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,,,,,,,,
31,G3-R-E010-H2,G3-E010,603986-H2,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,,,,,,,,
32,G3-R-E012-H1,G3-E012,00175-H1,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,,,,,,,,
33,G3-R-E109-H3,G3-E109,09868-H3,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,,,,,,,,
34,G3-R-E120-H2,G3-E120,09868-H2,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,,,,,,,,
35,G3-R-E110-H1,G3-E110,688981-H1,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,,,,,,,,
36,G3-R-E098-H2,G3-E098,00175-H2,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,,,,,,,,
37,G3-R-E101-H3,G3-E101,00175-H3,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,,,,,,,,
38,G3-R-E016-H2,G3-E016,00175-H2,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,,,,,,,,
39,G3-R-E015-H1,G3-E015,600276-H1,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,,,,,,,,
40,G3-R-E051-H2,G3-E051,688981-H2,中芯国际,688981,芯片半导体,2026-05-13T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,,,,,,,,
41,G3-R-E017-H3,G3-E017,002371-H3,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,,,,,,,,
42,G3-R-E045-H3,G3-E045,600276-H3,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,,,,,,,,
43,G3-R-E075-H3,G3-E075,603259-H3,药明康德,603259,医药,2026-04-28T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,,,,,,,,
44,G3-R-E051-H1,G3-E051,688981-H1,中芯国际,688981,芯片半导体,2026-05-13T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,,,,,,,,
45,G3-R-E035-H1,G3-E035,600276-H1,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,,,,,,,,
46,G3-R-E084-H1,G3-E084,002371-H1,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,,,,,,,,
47,G3-R-E035-H2,G3-E035,600276-H2,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,,,,,,,,
48,G3-R-E086-H1,G3-E086,600276-H1,恒瑞医药,600276,医药,2026-05-20T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,,,,,,,,
49,G3-R-E082-H3,G3-E082,688981-H3,中芯国际,688981,芯片半导体,2024-03-29T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,,,,,,,,
50,G3-R-E060-H1,G3-E060,002594-H1,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,,,,,,,,
51,G3-R-E103-H3,G3-E103,600276-H3,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,,,,,,,,
52,G3-R-E071-H1,G3-E071,603986-H1,兆易创新,603986,芯片半导体,2025-04-26T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,,,,,,,,
53,G3-R-E009-H2,G3-E009,002594-H2,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,,,,,,,,
54,G3-R-E071-H3,G3-E071,603986-H3,兆易创新,603986,芯片半导体,2025-04-26T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,,,,,,,,
55,G3-R-E043-H3,G3-E043,688981-H3,中芯国际,688981,芯片半导体,2026-05-15T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,,,,,,,,
56,G3-R-E107-H1,G3-E107,09868-H1,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,智能车交付量保持增长，新车型周期带动需求回升,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,,,,,,,,
57,G3-R-E075-H1,G3-E075,603259-H1,药明康德,603259,医药,2026-04-28T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,,,,,,,,
58,G3-R-E073-H1,G3-E073,002594-H1,比亚迪,002594,新能源汽车,2025-10-09T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,,,,,,,,
59,G3-R-E095-H3,G3-E095,002371-H3,北方华创,002371,芯片半导体,2025-02-18T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,,,,,,,,
60,G3-R-E004-H2,G3-E004,603986-H2,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,,,,,,,,
61,G3-R-E004-H3,G3-E004,603986-H3,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,,,,,,,,
62,G3-R-E120-H3,G3-E120,09868-H3,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,,,,,,,,
63,G3-R-E044-H1,G3-E044,688981-H1,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,,,,,,,,
64,G3-R-E068-H3,G3-E068,002594-H3,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,,,,,,,,
65,G3-R-E014-H2,G3-E014,09868-H2,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,,,,,,,,
66,G3-R-E089-H1,G3-E089,603259-H1,药明康德,603259,医药,2024-01-30T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,,,,,,,,
67,G3-R-E069-H1,G3-E069,002371-H1,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,,,,,,,,
68,G3-R-E091-H1,G3-E091,603259-H1,药明康德,603259,医药,2026-03-24T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,,,,,,,,
69,G3-R-E007-H1,G3-E007,603259-H1,药明康德,603259,医药,2024-03-19T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,,,,,,,,
70,G3-R-E010-H1,G3-E010,603986-H1,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,,,,,,,,
71,G3-R-E080-H1,G3-E080,600276-H1,恒瑞医药,600276,医药,2025-12-03T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,,,,,,,,
72,G3-R-E084-H3,G3-E084,002371-H3,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,,,,,,,,
73,G3-R-E092-H1,G3-E092,002594-H1,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,,,,,,,,
74,G3-R-E029-H1,G3-E029,600276-H1,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,,,,,,,,
75,G3-R-E007-H3,G3-E007,603259-H3,药明康德,603259,医药,2024-03-19T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,,,,,,,,
