序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
1,G3-B030,G3-E092,EVT-002594-00009,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,第1页,"√同向上升 同向下降 项 目 本报告期 上年同期 归属于上市公司 股东的净利润 盈利：人民币2,900,000万元– 3,100,000万元 盈利：人民币1,662,245万元 比上年同期上升：74.46%-86.49% 扣除非经常性损 益后的净利润 盈利：人民币2,740,000万元– 2,970,000万元（注1） 盈利：人民币1,563,779万元 比上年同期上升：75.22%-89.92% 基本每股收益 盈利：人民币9.98元/股至10.67元/股 盈利：人民币5.71元/股 注1：本报告期扣除非经常性损益后的净利润是根据2023年12月22日发布的《公开 发行证券的公司信息披露解释性公告第1号——非经常性损益（2023年修订）》进行初步 测算。 二、与会计师事务所沟通情况 公司已就本次业绩预告与会计师事务所进行预沟通， 公司与会计师事务所在 业绩预告相关财务数据方面不存在分歧。 本次业绩预告相关财务数据未经会计师事务",是,其他,上升,74.46,86.49,%,2023,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
2,G3-B010,G3-E030,EVT-600276-00513,恒瑞医药,600276,医药,2026-01-06T00:00:00+08:00,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224919037.PDF,第2页,", 并 2024 年 7 月在国内（商品名：穆峰达）获批上市。经查询 EvaluatePharma 数据库，2024年ZEPBOUND全球销售额合计约为49.26亿美元。截至目前，HRS9531 相关项目累计研发投入约 51,854 万元。 HRS-5817 注射液为一款自主研发的 1 类化学药物。临床前数据显示， HRS-5817 可在肥胖动物模型中发挥减重效果，且安全性良好。经查询，目前国 内外尚无同靶点的药物获批上市。截至目前，HRS-5817 注射液累计研发投入约 2,489 万元。 三、风险提示 根据我国药品注册相关的法律法规要求，药物在获得药物临床试验批准通知 书后，尚需开展临床试验并经国家药监局审评、审批通过后方可生产上市。药品 从研制、临床试验报批到投产的周期长、环节多，药品研发及至上市容易受到一 些不确定性因素的影响，敬请广大投资者谨慎决策，注意防范投资风险。公司将 按国家有关规定积极推进上述研发项目，并及时对",是,其他,无法判断,51854,51854,万元,截至2026-01,"正文明确披露HRS9531相关项目累计研发投入约51,854万元，金额与截至月份可核；无比较基准，方向无法判断。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
3,G3-B037,G3-E081,EVT-09868-00081,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,第1页,"任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2025 年2 月智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年2月車輛交付數 據。 2025年2月，小鵬汽車共交付智能電動汽車30,453輛，同比增長570%。 小鵬MONA M03連續第三個月交付量超過了15,000輛。小鵬P7+自上市以來的前三個月， 累計交付已超過30,000輛。此外，小鵬汽車還發佈了小鵬P7+的用戶畫像，顯示智能駕 駛是消費者購買小鵬 P7+的主要原因之一。 2025年前兩個月，小鵬汽車交付新車共 60,803輛，與去年同期相比增長375%。 2025年2月，小鵬汽車智能導航輔助駕駛（XNGP）的城區智駕月度活躍用戶滲透率達 86%。根據小鵬汽車發佈的春節 智能駕駛使用報告，在春運期間，小鵬汽車的 智能駕 駛總里程和智能駕駛總時長分別較去年同期增長了98.2%和103.5%。同時",是,销量或交付量同比,上升,570,570,%,2025-02,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
4,G3-B008,G3-E112,EVT-603259-00392,药明康德,603259,医药,2025-09-03T00:00:00+08:00,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,第1页,重要内容提示：  本次交易系无锡药明康德新药开发股份有限公司（以下简称“公司”）及 公司合并报表范围内的下属子企业（以下合称“本集团”）在日常经营业务中发 生的交易，符合本集团正常生产经营的需要，均为正常的商业安排。,是,订单金额,上升,2,2,亿元,2025,正文明确将2025年预计关联交易金额由1.68亿元提高至2.00亿元，具备数值、比较基准和年度，按订单金额上升抽取。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
5,G3-B024,G3-E049,EVT-002594-00020,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,第1页,比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
6,G3-B047,G3-E040,EVT-002371-00298,北方华创,002371,芯片半导体,2025-11-06T00:00:00+08:00,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,第1页,"一、募集资金基本情况 经中国证券监督管理委员会出具的《关于核准北方华创科技集团股份有限公 司非公开发行股票的批复》（证监许可[2021]2710 号）核准，北方华创科技集团 股份有限公司（以下简称“公司”）非公开发行人民币普通股（A 股）27,960,526 股，每股发行价为人民币 304 元，共计募集资金总额人民币 8,499,999,904.00 元， 扣除各项发行费用人民币 47,913,170.30 元（不含增值税），实际募集资金净额 为人民币 8,452,086,733.70 元。",否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
7,G3-B028,G3-E064,EVT-00175-00143,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,第2页,對本集團的財務影響 於領克收購事項完成後，估計本集團將錄得未經審核收益約人民幣64.7億元 （扣除稅項、 交易成本及其他慣常調整之前） 。此收益乃源自領克的控制權發生變動，由合資公司轉變 為附屬公司。收益指領克50%股權之公允值與先前所持領克權益 （即50%股權） 於二零二五 年一月三十一日之賬面值之間之差額。根據香港財務報告準則，此收益將於交易完成後 在本集團綜合財務報表內確認。 領克收購事項產生的實際收益或虧損須經審核後方可作實。 上述分析僅作說明用途，並不代表本集團於完成領克收購事項後的實際財務表現。 一般事項 本公司股東及潛在投資者於買賣本公司證券時務請審慎行事。 承董事會命 吉利汽車控股有限公司 公司秘書 張頌仁 香港，二零二五年二月十四日 於本公佈日期，本公司執行董事為李書福先生 （主席） 、李東輝先生 （副主席） 、桂生悅先生 （行政總裁） 、魏梅女士、淦家閱先生及毛鑒明先生；而本公司獨立非執行董事為安慶衡 先生、,是,其他,无法判断,64.7,64.7,亿元,交易完成后,正文披露领克收购完成后预计集团录得未经审核收益约64.7亿元，金额、单位与触发期间明确；无可比基准，方向无法判断。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
8,G3-B011,G3-E105,EVT-000538-00136,云南白药,000538,医药,2025-06-18T00:00:00+08:00,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,第1页,云南白药集团股份有限公司（以下简称“公司”）控股子公司云白药征武 科技（上海）有限公司（以下简称“征武科技”）于近日收到国家药品监督管 理局下发的《药物临床试验批准通知书》（通知书编号： 2025LP01506、 2025LP01507）。,是,其他,无法判断,2600,2600,万元,截至2025-06,"正文披露JZ-14胶囊已投入研发费用约2,600万元，属于明确可复核的其他金额事实；未给前期比较，方向无法判断。",4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
9,G3-B005,G3-E035,EVT-600276-00083,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,第1页,"近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发氟唑帕利胶囊的《药品注册证书》， 批准公司研发的1 类新药、PARP 抑制剂氟唑帕利胶囊新适应症上市,这是氟唑帕 利获批上市的第 3 个适应症，现将相关情况公告如下： 一、 药品的基本情况 药品名称：氟唑帕利胶囊 剂型：胶囊剂 规格：50mg 注册分类：化学药品 2.4 类 受理号：CXHS2300070 证书编号：2024S00861 处方药/非处方药：处方药 审批结论：根据《中华人民共和国药品管理办法》及…",是,其他,无法判断,89664,89664,万元,截至2024-05,"正文披露氟唑帕利相关项目累计研发投入约89,664万元，属于可复核的其他金额事实；未披露比较基准，方向无法判断。",4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
10,G3-B012,G3-E102,EVT-600276-00619,恒瑞医药,600276,医药,2026-04-23T00:00:00+08:00,恒瑞医药2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-23/1225145521.PDF,第1页,"第一季度财务报表是否经审计 □是 √否 一、主要财务数据 (一)主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 8,140,565,320.77 7,205,611,122.72 12.98 利润总额 2,556,862,055.54 2,075,603,711.83 23.19 归属于上市公司股东的净利润 2,282,268,233.13 1,874,055,519.98 21.78 归属于上市公司股东的扣除非 经常性损益的净利润 2,172,398,804.54 1,863,286,591.29 16.59 经营活动产生的现金流量净额 786,445,900.71 555,174,088.51 41.66 基本每股收益（元/股） 0.34 0.30 13.33 稀释每股收益（元/股） 0.34 0.30 13.33 加权平均净资产收益率（%） 4.",是,营业收入同比,上升,12.98,12.98,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
