序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间
1,G3-B037,G3-E081,EVT-09868-00081,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,,,,,,,,,,,,,,
2,G3-B014,G3-E021,EVT-600276-00488,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,,,,,,,,,,,,,,
3,G3-B060,G3-E074,EVT-002371-00261,北方华创,002371,芯片半导体,2025-10-18T00:00:00+08:00,关于归还暂时补充流动资金的闲置募集资金的公告,http://static.cninfo.com.cn/finalpage/2025-10-18/1224718261.PDF,,,,,,,,,,,,,,
4,G3-B024,G3-E049,EVT-002594-00020,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,,,,,,,,,,,,,,
5,G3-B048,G3-E058,EVT-002371-00194,北方华创,002371,芯片半导体,2025-04-26T00:00:00+08:00,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,,,,,,,,,,,,,,
6,G3-B020,G3-E083,EVT-000538-00051,云南白药,000538,医药,2024-05-11T00:00:00+08:00,关于氟比洛芬凝胶贴膏获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2024-05-11/1220033851.PDF,,,,,,,,,,,,,,
7,G3-B058,G3-E059,EVT-002371-00265,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,,,,,,,,,,,,,,
8,G3-B041,G3-E088,EVT-603986-00004,兆易创新,603986,芯片半导体,2024-01-26T00:00:00+08:00,兆易创新2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-26/1219003543.PDF,,,,,,,,,,,,,,
9,G3-B025,G3-E012,EVT-00175-00195,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,,,,,,,,,,,,,,
10,G3-B034,G3-E008,EVT-00175-00449,吉利汽车,00175,新能源汽车,2026-07-23T17:48:11+08:00,自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产,http://static.cninfo.com.cn/finalpage/2026-07-23/1225439110.PDF,,,,,,,,,,,,,,
11,G3-B031,G3-E107,EVT-09868-00121,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,,,,,,,,,,,,,,
12,G3-B015,G3-E057,EVT-000538-00202,云南白药,000538,医药,2026-04-01T00:00:00+08:00,云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067998.PDF,,,,,,,,,,,,,,
13,G3-B050,G3-E100,EVT-603986-00478,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,,,,,,,,,,,,,,
