event_id,security_id,company,industry,market,title,disclosure_time,disclosure_time_precise,category,annotator_a_hypothesis,annotator_a_direction,annotator_b_hypothesis,annotator_b_direction,agreed,needs_adjudication,split,url,ruling_rule
EVT-00175-00001,00175,吉利汽车,新能源汽车,港股,月报表截至31/12/2023,2024-01-01T18:18:34+08:00,True,程式化披露,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-01/1218785089.PDF,
EVT-00175-00002,00175,吉利汽车,新能源汽车,港股,未经审核之二零二三年十二月销量及二零二四年销量目标,2024-01-01T18:32:34+08:00,True,产销数据,H1-需求与出货,中性,H1-需求与出货,中性,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-01/1218785103.PDF,
EVT-600276-00001,600276,恒瑞医药,医药,A股,恒瑞医药关于公司药物获得美国FDA快速通道资格的公告,2024-01-02T00:00:00+08:00,False,药品研发进展,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-02/1218785005.PDF,R3
EVT-002594-00001,002594,比亚迪,新能源汽车,A股,2023年12月产销快报,2024-01-02T00:00:00+08:00,False,产销数据,H1-需求与出货,中性,H1-需求与出货,中性,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-02/1218785061.PDF,
EVT-09868-00001,09868,小鹏汽车,新能源汽车,港股,自愿公告 2023年12月及第四季度智能车交付数据,2024-01-02T19:06:29+08:00,True,产销数据,H1-需求与出货,中性,H1-需求与出货,中性,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-02/1218792051.PDF,
EVT-09868-00002,09868,小鹏汽车,新能源汽车,港股,持续关连交易 与广东汇天签订合作框架协议,2024-01-02T21:05:14+08:00,True,订单与合同,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-02/1218792795.PDF,R15
EVT-603986-00001,603986,兆易创新,芯片半导体,A股,兆易创新关于使用闲置募集资金进行现金管理的公告,2024-01-03T00:00:00+08:00,False,融资,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218789711.PDF,R11
EVT-600276-00002,600276,恒瑞医药,医药,A股,恒瑞医药关于回购公司股份的进展公告,2024-01-03T00:00:00+08:00,False,回购与持股变动,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218790164.PDF,
EVT-603259-00001,603259,药明康德,医药,A股,H股公告,2024-01-03T00:00:00+08:00,False,其他,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791068.PDF,
EVT-603259-00002,603259,药明康德,医药,A股,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,2024-01-03T00:00:00+08:00,False,股权激励,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,
EVT-002594-00002,002594,比亚迪,新能源汽车,A股,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2024-01-03T00:00:00+08:00,False,程式化披露,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218790402.PDF,
EVT-002594-00003,002594,比亚迪,新能源汽车,A股,关于持股5%以上股东部分股份质押及解除质押的公告,2024-01-03T00:00:00+08:00,False,回购与持股变动,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-03/1218790097.PDF,
EVT-600276-00003,600276,恒瑞医药,医药,A股,恒瑞医药关于子公司获得药品注册证书的公告,2024-01-04T00:00:00+08:00,False,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,支持,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-04/1218799854.PDF,R6
EVT-600276-00004,600276,恒瑞医药,医药,A股,恒瑞医药关于药物上市许可申请获受理的提示性公告,2024-01-04T00:00:00+08:00,False,药品注册与上市,H1-需求与出货,中性,H1-需求与出货,中性,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-04/1218799853.PDF,R5
EVT-603986-00002,603986,兆易创新,芯片半导体,A股,兆易创新关于使用闲置募集资金进行现金管理的公告,2024-01-05T00:00:00+08:00,False,融资,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-05/1218807806.PDF,R11
EVT-600276-00005,600276,恒瑞医药,医药,A股,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,2024-01-05T00:00:00+08:00,False,药品研发进展,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-05/1218808190.PDF,R1
EVT-09868-00003,09868,小鹏汽车,新能源汽车,港股,截至二零二三年十二月三十一日止之股份发行人的证券变动月报表,2024-01-05T18:31:14+08:00,True,程式化披露,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-05/1218817575.PDF,
EVT-688981-00001,688981,中芯国际,芯片半导体,A股,中芯国际关于召开2023年第四季度业绩说明会的预告公告,2024-01-06T00:00:00+08:00,False,治理,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817379.PDF,
EVT-688981-00002,688981,中芯国际,芯片半导体,A股,港股公告：翌日披露报表,2024-01-06T00:00:00+08:00,False,程式化披露,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817488.PDF,
EVT-688981-00003,688981,中芯国际,芯片半导体,A股,港股公告：董事会会议日期通知,2024-01-06T00:00:00+08:00,False,治理,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817487.PDF,
EVT-688981-00004,688981,中芯国际,芯片半导体,A股,港股公告：证券变动月报表,2024-01-06T00:00:00+08:00,False,程式化披露,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817486.PDF,
EVT-603259-00003,603259,药明康德,医药,A股,上海市方达律师事务所关于无锡药明康德新药开发股份有限公司2024年第一次临时股东大会、2024年第一次A股类别股东会议及2024年第一次H股类别股东会议的法律意见书,2024-01-06T00:00:00+08:00,False,治理,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817037.PDF,R10
EVT-603259-00004,603259,药明康德,医药,A股,2024年第一次临时股东大会、2024年第一次A股类别股东会议及2024年第一次H股类别股东会议决议公告,2024-01-06T00:00:00+08:00,False,治理,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817038.PDF,
EVT-002594-00004,002594,比亚迪,新能源汽车,A股,关于持股5%以上股东部分股份解除质押的公告,2024-01-06T00:00:00+08:00,False,回购与持股变动,,无关,,无关,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-06/1218817155.PDF,
EVT-600276-00006,600276,恒瑞医药,医药,A股,恒瑞医药关于子公司获得药品注册证书的公告,2024-01-08T00:00:00+08:00,False,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,支持,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-08/1218824938.PDF,R6
EVT-600276-00007,600276,恒瑞医药,医药,A股,恒瑞医药关于获得药品注册证书的公告,2024-01-08T00:00:00+08:00,False,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,支持,True,False,in_sample,http://static.cninfo.com.cn/finalpage/2024-01-08/1218824939.PDF,R6
