序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
15,G3-B007,G3-E031,EVT-603259-00002,药明康德,603259,医药,2024-01-03T00:00:00+08:00,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,第1页,"重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
10,G3-B012,G3-E102,EVT-600276-00619,恒瑞医药,600276,医药,2026-04-23T00:00:00+08:00,恒瑞医药2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-23/1225145521.PDF,第1页,"第一季度财务报表是否经审计 □是 √否 一、主要财务数据 (一)主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 8,140,565,320.77 7,205,611,122.72 12.98 利润总额 2,556,862,055.54 2,075,603,711.83 23.19 归属于上市公司股东的净利润 2,282,268,233.13 1,874,055,519.98 21.78 归属于上市公司股东的扣除非 经常性损益的净利润 2,172,398,804.54 1,863,286,591.29 16.59 经营活动产生的现金流量净额 786,445,900.71 555,174,088.51 41.66 基本每股收益（元/股） 0.34 0.30 13.33 稀释每股收益（元/股） 0.34 0.30 13.33 加权平均净资产收益率（%） 4.",是,营业收入同比,上升,12.98,12.98,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
47,G3-B013,G3-E013,EVT-000538-00233,云南白药,000538,医药,2026-04-30T00:00:00+08:00,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225255634.PDF,第3页,"26 年第一季度报告 3 一、主要财务数据 （一） 主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 上年同期 本报告期比上年同期增减（%） 营业收入（元） 11,602,596,895.18 10,841,237,721.29 7.02% 归属于上市公司股东的净利润（元） 2,037,306,990.13 1,934,639,584.60 5.31% 归属于上市公司股东的扣除非经常性损益 的净利润（元） 1,965,172,511.31 1,887,406,845.46 4.12% 经营活动产生的现金流量净额（元） 829,016,119.34 713,597,559.65 16.17% 基本每股收益（元/股） 1.14 1.08 5.56% 稀释每股收益（元/股） 1.14 1.08 5.56% 加权平均净资产收益率 4.96% 4.86% 增加 0.10 个百分点 本报告期末 上年度末",是,营业收入同比,上升,7.02,7.02,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
31,G3-B015,G3-E057,EVT-000538-00202,云南白药,000538,医药,2026-04-01T00:00:00+08:00,云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067998.PDF,第1页,1 / 9 云南白药集团股份有限公司 董事和高级管理人员所持公司股份 及其变动管理制度 （2026 年 3 月） 第一章 总则 第一条 为加强对云南白药集团股份有限公司(以下简称“公司”)董事和 高级管理人员所持公司股份及其变动的管理，根据《中华人民共和国公司法》 (以下简称“《公司法》”)《中华人民共和国证券法》(以下简称“《证券法》”) 《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》《深圳 证券交易所上市公司自律监管指引第10 号——股份变动管理》《深圳证券交 易所上市公司自律监管指引第18 号—…,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
53,G3-B016,G3-E075,EVT-603259-00470,药明康德,603259,医药,2026-04-28T00:00:00+08:00,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,第2页,"客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,279,893,550.88 31.01 归属于上市公司股东的净利润 4,651,517,987.76 3,671,960,950.47 26.68 归属于上市公司股东的扣除非 经常性损益的净利润 4,275,624,429.82 2,329,266,627.00 83.56 经营活动产生的现金流量净额 3,595,810,326.53 3,195,429,861.72 12.53 基本每股收益（元/股） 1.59 1.29 23.26 稀释每股收益（元/股） 1.58 1.28 23.44 加权平均净资产收益率（",是,营业收入同比,上升,28.81,28.81,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
45,G3-B019,G3-E089,EVT-603259-00012,药明康德,603259,医药,2024-01-30T00:00:00+08:00,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,第1页,关于对无锡药明康德新药开发股份有限公司 股票交易异常波动问询函的回复 无锡药明康德新药开发股份有限公司： 本人Ge Li（李革）于2024 年1 月29 日收到贵公司发来的《关 于公司股票异动情况的问询函》。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
39,G3-B021,G3-E109,EVT-09868-00063,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,第1页,1 香港交易及結算所有限公司及香港聯合交易所有限公司對本公告之內容概不負責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。,是,销量或交付量同比,上升,39,39,%,2024-09,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
42,G3-B022,G3-E101,EVT-00175-00345,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,第1页,"核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 217,438 224,718 -3 217,438 224,718 -3 其中: 銀河 82,990 93,545 -11 82,990 93,545 -11 領克 28,877 30,077 -4 28,877 30,077 -4 極氪 23,852 11,942 100 23,852 11,942 100 合計 270,167 266,737 1 270,167 266,737 1 其中： 純電",是,销量或交付量同比,上升,1,1,%,2026-01,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
14,G3-B023,G3-E016,EVT-00175-00265,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,第1页,"發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTOMOBILE HOLDINGS LIMITED ( 273,125 35 （部） （部） (%) （部） （部） (%) 吉利 221,966 154,813 43 1,785,117 1,151,214 55 其中: 銀河 120,868 52,311 131 874,985 286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 37",是,销量或交付量同比,上升,35,35,%,2025-09,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
5,G3-B024,G3-E049,EVT-002594-00020,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,第1页,比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
