case_id,industry,company_name,period,disclosed_at,actual_value,expected_value,absolute_gap,relative_gap,candidate_direction,proxy_gold_direction,review_status,previous_status,suggested_status,confirmed_status,consecutive_breaches,invalidation_breached,source_document_id,source_url,locator,rule_version
semi-smic-2024,芯片半导体,中芯国际,2024Q2,2024-08-08,1901276,1750000,151276.000000,0.086443,支持,支持,通过,验证中,验证中,验证中,0,False,SMIC-2024Q2,https://www.smics.com/site/news_read/3648,二零二四年第二季财务摘要,mvp-closure-rules-v1
semi-smic-2024,芯片半导体,中芯国际,2024Q3,2024-11-07,2171188,1750000,421188.000000,0.240679,支持,支持,通过,验证中,验证中,验证中,0,False,SMIC-2024Q3,https://www.smics.com/uploads/672c8ac5/Q3_2024%20Financials%20Presentation.pdf,"Income Statement, Revenue",mvp-closure-rules-v1
semi-smic-2024,芯片半导体,中芯国际,2024Q4,2025-02-11,2207281,1750000,457281.000000,0.261303,支持,支持,通过,验证中,验证中,验证中,0,False,SMIC-2024Q4,https://www.smics.com/jp/site/news_read/7783,Fourth Quarter 2024 Highlights,mvp-closure-rules-v1
semi-gigadevice-2024,芯片半导体,兆易创新,2024Q2,2024-08-21,1981767352.42,1600000000,381767352.420000,0.238605,支持,支持,通过,验证中,验证中,验证中,0,False,GIGA-2024H1,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-08-21/d1a19c6b5ece11ef8f5bfa163e26e5de.pdf,半年度累计减第一季度；年报分季度表复核,mvp-closure-rules-v1
semi-gigadevice-2024,芯片半导体,兆易创新,2024Q3,2024-10-26,2040559511.23,1600000000,440559511.230000,0.275350,支持,支持,通过,验证中,验证中,验证中,0,False,GIGA-2024Q3,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-10-26/603986_20241026_XYDF.pdf,主要财务数据,mvp-closure-rules-v1
semi-gigadevice-2024,芯片半导体,兆易创新,2024Q4,2025-04-26,1706380845.71,1600000000,106380845.710000,0.066488,支持,支持,通过,验证中,验证中,验证中,0,False,GIGA-2024FY,https://static.cninfo.com.cn/finalpage/2025-04-26/1223305062.PDF,2024年分季度主要财务数据,mvp-closure-rules-v1
semi-naura-2024,芯片半导体,北方华创,2024Q2,2024-08-28,6475743823.69,5800000000,675743823.690000,0.116508,支持,支持,通过,验证中,验证中,验证中,0,False,NAURA-2024H1,https://static.cninfo.com.cn/finalpage/2024-08-28/1221004535.PDF,半年度累计减第一季度；年报分季度表复核,mvp-closure-rules-v1
semi-naura-2024,芯片半导体,北方华创,2024Q3,2024-10-30,8017863754.89,5800000000,2217863754.890000,0.382390,支持,支持,通过,验证中,验证中,验证中,0,False,NAURA-2024Q3,https://static.cninfo.com.cn/finalpage/2024-10-30/1221555085.PDF,主要财务数据；年报分季度表复核,mvp-closure-rules-v1
semi-naura-2024,芯片半导体,北方华创,2024Q4,2025-04-25,9485298203.09,5800000000,3685298203.090000,0.635396,支持,支持,通过,验证中,验证中,验证中,0,False,NAURA-2024FY,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-25/4ce4041b-f90f-4ea3-a356-ea973d30f036.PDF,分季度主要财务指标,mvp-closure-rules-v1
pharma-hengrui-2024,医药,恒瑞医药,2024Q2,2024-08-22,7603200202.63,5900000000,1703200202.630000,0.288678,支持,支持,通过,验证中,验证中,验证中,0,False,HENGRUI-2024H1,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-08-22/600276_20240822_Y4KU.pdf,半年度累计减第一季度；年报分季度表复核,mvp-closure-rules-v1
pharma-hengrui-2024,医药,恒瑞医药,2024Q3,2024-10-25,6588569730.33,5900000000,688569730.330000,0.116707,支持,支持,通过,验证中,验证中,验证中,0,False,HENGRUI-2024Q3,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-10-25/600276_20241025_BW56.pdf,主要财务数据,mvp-closure-rules-v1
pharma-hengrui-2024,医药,恒瑞医药,2024Q4,2025-03-31,7795301496.96,5900000000,1895301496.960000,0.321238,支持,支持,通过,验证中,验证中,验证中,0,False,HENGRUI-2024FY,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10831657&stockid=600276,2024年分季度主要财务数据,mvp-closure-rules-v1
pharma-wuxi-2024,医药,药明康德,2024Q2,2024-07-30,9258984026.06,7900000000,1358984026.060000,0.172023,支持,支持,通过,验证中,验证中,验证中,0,False,WUXI-2024H1,https://officialsite-static.wuxiapptec.com/upload/bc/20240729/2024%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,半年度累计减第一季度；年报分季度表复核,mvp-closure-rules-v1
pharma-wuxi-2024,医药,药明康德,2024Q3,2024-10-29,10461083991.74,7900000000,2561083991.740000,0.324188,支持,支持,通过,验证中,验证中,验证中,0,False,WUXI-2024Q3,https://officialsite-static.wuxiapptec.com/upload/2024_871da4f980.pdf,主要财务数据,mvp-closure-rules-v1
pharma-wuxi-2024,医药,药明康德,2024Q4,2025-03-17,11539429105.12,7900000000,3639429105.120000,0.460687,支持,支持,通过,验证中,验证中,验证中,0,False,WUXI-2024FY,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0317/2025031701658_c.pdf,分季度主要财务数据,mvp-closure-rules-v1
pharma-yunnan-baiyao-2024,医药,云南白药,2024Q2,2024-08-27,9680995366.03,10000000000,-319004633.970000,-0.031900,冲突,冲突,通过,验证中,验证中,验证中,1,False,YNBY-2024H1,https://static.cninfo.com.cn/finalpage/2024-08-27/1220987156.PDF,半年度累计减第一季度；年报分季度表复核,mvp-closure-rules-v1
pharma-yunnan-baiyao-2024,医药,云南白药,2024Q3,2024-10-30,9459868782.32,10000000000,-540131217.680000,-0.054013,冲突,冲突,通过,验证中,重大风险,重大风险,2,True,YNBY-2024Q3,https://static.cninfo.com.cn/finalpage/2024-10-30/1221560388.PDF,主要财务数据,mvp-closure-rules-v1
pharma-yunnan-baiyao-2024,医药,云南白药,2024Q4,2025-04-02,10118145744.88,10000000000,118145744.880000,0.011815,支持,支持,通过,重大风险,出现分歧,出现分歧,0,False,YNBY-2024FY,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10838403&stockid=000538,分季度主要会计数据,mvp-closure-rules-v1
nev-byd-2024,新能源汽车,比亚迪,2024Q2,2024-07-02,986720,626263,360457.000000,0.575568,支持,支持,通过,验证中,验证中,验证中,0,False,BYD-2024M06,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10002250&gather=1&id=10308088,"上半年累计1,612,983减一季度626,263",mvp-closure-rules-v1
nev-byd-2024,新能源汽车,比亚迪,2024Q3,2024-10-08,1134892,626263,508629.000000,0.812165,支持,支持,通过,验证中,验证中,验证中,0,False,BYD-2024M09,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10511294&stockid=002594,"前三季度累计2,747,875减上半年1,612,983",mvp-closure-rules-v1
nev-byd-2024,新能源汽车,比亚迪,2024Q4,2025-01-02,1524270,626263,898007.000000,1.433914,支持,支持,通过,验证中,验证中,验证中,0,False,BYD-2024M12,https://www.bydglobal.com/sites/Satellite/BYD%20PDF%20Viewer?blobcol=urldata&blobheader=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1638928484684&ssbinary=true,"全年累计4,272,145减前三季度2,747,875",mvp-closure-rules-v1
nev-geely-2024,新能源汽车,吉利汽车,2024Q2,2024-07-01,480010,475720,4290.000000,0.009018,支持,支持,通过,验证中,验证中,验证中,0,False,GEELY-2024M06,https://www.geelyauto.com.hk/wp-content/uploads/2024/07/Geely_2024_June_sales_CN_final.pdf,"上半年累计955,730减一季度475,720",mvp-closure-rules-v1
nev-geely-2024,新能源汽车,吉利汽车,2024Q3,2024-10-01,533960,475720,58240.000000,0.122425,支持,支持,通过,验证中,验证中,验证中,0,False,GEELY-2024M09,https://www.geelyauto.com.hk/wp-content/uploads/2024/10/Geely_2024_Sept-sales_EN_1.pdf,"前三季度累计1,489,690减上半年955,730",mvp-closure-rules-v1
nev-geely-2024,新能源汽车,吉利汽车,2024Q4,2025-01-01,686877,475720,211157.000000,0.443868,支持,支持,通过,验证中,验证中,验证中,0,False,GEELY-2024M12,https://www.geelyauto.com.hk/wp-content/uploads/2025/01/Geely_2024_Dec_-sales_EN_Final.pdf,"全年累计2,176,567减前三季度1,489,690",mvp-closure-rules-v1
nev-xpeng-2024,新能源汽车,小鹏汽车,2024Q2,2024-07-01,30207,21821,8386.000000,0.384309,支持,支持,通过,验证中,验证中,验证中,0,False,XPENG-2024Q2,https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-second-quarter-2024-unaudited-financial-results,total deliveries,mvp-closure-rules-v1
