任务类型,样本ID,A结果,A理由,B结果,B理由,裁决结果,裁决理由,裁决人ID,裁决时间
event,G3-E002,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“产能利用率与项目结构支撑毛利率，不因价格竞争持续走低”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E005,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E007,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“新增产能与地缘政治风险可控，海外基地建设按计划推进”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E008,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“品牌与平台整合按计划推进，不出现大额整合损失”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E011,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化”的可信度。,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H2-盈利质量的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E013,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H2-盈利质量的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E014,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“智能车交付量保持增长，新车型周期带动需求回升”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E018,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“品牌与平台整合按计划推进，不出现大额整合损失”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""治理/其他"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实涉及但尚不足以改变H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E020,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E021,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
