序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
84,G3-E001,兆易创新,603986,芯片半导体,A股,2026-08-01T00:00:00+08:00,仅日期（按盘后处理）,兆易创新第五届董事会第十四次会议决议公告,http://static.cninfo.com.cn/finalpage/2026-08-01/1225450991.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新第五届董事会第十四次会议决议公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：兆易创新科技集团股份有限公司（以下简称“公司”）第五届董事会第十四次会 议于 2026 年 7 月 31 日以现场结合通讯方式召开。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
97,G3-E003,兆易创新,603986,芯片半导体,A股,2026-07-22T00:00:00+08:00,仅日期（按盘后处理）,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435926.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公司披露中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见，核心事实为：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A股部分募集资金向全资子公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证…,产能/资本开支,H3-产能与扩张,支持,高,直接,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A股部分募集资金向全资子公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司增资以实施 DRAM 募投 项目的事项进行了审慎核查，核查意见如下：…,该事实直接观察到相关指标或里程碑，提高“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
22,G3-E004,兆易创新,603986,芯片半导体,A股,2026-07-30T00:00:00+08:00,仅日期（按盘后处理）,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新股东增持股份计划公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
57,G3-E006,小鹏汽车,09868,新能源汽车,港股,2026-04-23T20:48:07+08:00,精确,股东周年大会登记日期,http://static.cninfo.com.cn/finalpage/2026-04-23/1225172357.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公告披露股东周年大会登记日期相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：1 ڌ ዄ΂Оப ΂f XPeng Inc. ʃᘄණྠ * ʮ̡ ΅˾໮j 9868 ඄ϋɽึ೮া˚ಂ XPeng Inc.͉ʮ̡  ʘ໨ԫึ  ໨ԫึбd໨ԫึʊਗ਼2026ϋ5˜14ග ࠽ٰࠦ0.00001ٙAאB೮া˚ ΅೮া˚͉ʮ̡AאBϞ ඄ϋɽึ  ඄ϋɽึึɪҳୃf Ϟ͉ʮ̡ Aᗳ אB׵ڭ2026ϋ5˜14ਗ਼ ΅ཀ˒೮াᐼஈ Ascentium (Cayman) Limitedމ4th Floor, Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman KY 1-1002…",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
85,G3-E009,比亚迪,002594,新能源汽车,A股,2024-11-02T00:00:00+08:00,仅日期（按盘后处理）,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,"公司披露2024年10月产销快报，核心事实为：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2024年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2024年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50%…",该事实直接观察到相关指标或里程碑，提高“新能源汽车销量保持增长，出口占比提升对冲国内价格压力”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“新能源汽车销量保持增长，出口占比提升对冲国内价格压力”的可信度。,该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
61,G3-E010,兆易创新,603986,芯片半导体,A股,2026-01-23T00:00:00+08:00,仅日期（按盘后处理）,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公司披露中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见，核心事实为：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机…,产能/资本开支,H3-产能与扩张,支持,高,直接,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行…,该事实直接观察到相关指标或里程碑，提高“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
91,G3-E012,吉利汽车,00175,新能源汽车,港股,2025-06-01T18:06:28+08:00,精确,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二五年五月销量，核心事实为：186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 17…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,279 70 其中： 出口 30,017 37,495 -20 144,103 163,601 -12",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
62,G3-E015,恒瑞医药,600276,医药,A股,2025-01-10T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于药品上市许可申请获受理的提示性公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-004 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司…,研发/注册,H3-产能与扩张,支持,低,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-004 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司提交的 SHR4640 片药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、 药品的基本情况 药品名称：SHR4640 片 剂型：片剂 受理号：CXHS2500003、CXHS250000…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
7,G3-E016,吉利汽车,00175,新能源汽车,港股,2025-10-01T23:59:59+08:00,精确,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二五年九月销量，核心事实为：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 374,099 216,520 73 其中： 出口 注1 40,665 40,319 1 296,128 319,121 -7 注1：出口指中華人民共和國（包括香港、澳門特",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
8,G3-E017,北方华创,002371,芯片半导体,A股,2024-04-30T00:00:00+08:00,仅日期（按盘后处理）,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公司披露关于公司2024年度日常关联交易预计的公告，核心事实为：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销…,订单/合同,H1-需求与出货,中性,低,间接,第4页：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销售商品与 采购原材料交易属于公司的日常业务活动， 该等交易是以市场交易价格为基础， 各方平等协商确定，定价依据合理，相关交易公平、公正，符合公司整体利益。 四、关联交易目的和对上市公司的影响 公司与上述关联方的日常关联交易是公司业务发展及生产经营的需要，对 于公司的生产经营是必要…,该事实需经过一层清晰的业务因果链，与该假设相关但尚不足以确定提高或降低“半导体设备订单随晶圆厂扩产与国产化率提升保持增长”的可信度。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,该事实需经过一层清晰的业务因果链，与该假设相关但尚不足以确定提高或降低“半导体设备订单随晶圆厂扩产与国产化率提升保持增长”的可信度。,该事实涉及但尚不足以改变H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
