序号,公司,披露日期,公告标题,关联假设,影响方向,备注
1,比亚迪,2024-08-02,2024年7月产销快报,,,
2,宁德时代,2025-11-24,股东询价转让结果报告书暨持股5%以上股东权益变动触及5%整数倍的提示性公告,,,
3,宁德时代,2024-04-01,关于回购公司股份的进展公告,,,
4,阳光电源,2024-10-08,关于回购公司股份的进展公告,,,
5,比亚迪,2025-10-09,2025年9月产销快报,,,
6,阳光电源,2026-06-08,2025年年度报告（英文简版）,,,
7,阳光电源,2024-05-10,关于与专业投资机构共同投资设立合伙企业的进展公告,,,
8,比亚迪,2024-06-15,H股公告（截至2023年12月31日止年度之末期股息-更新宣派股息相关信息及派息金额、公司预设派发货币相关信息及股息派发日）,,,
9,宁德时代,2026-01-09,关于参股公司增资暨关联交易的公告,,,
10,比亚迪,2024-01-30,2023年度业绩预告,,,
11,阳光电源,2024-07-03,关于使用闲置募集资金购买理财产品的进展公告（三十五）,,,
12,比亚迪,2024-03-27,2023年年度报告,,,
13,阳光电源,2024-07-18,关于与专业投资机构共同投资设立合伙企业的进展公告,,,
14,比亚迪,2024-10-22,H股公告（暂停办理过户）,,,
15,比亚迪,2024-09-02,2024年8月产销快报,,,
16,宁德时代,2025-03-15,《对外投资管理制度》（2025年3月修订）,,,
17,阳光电源,2025-04-26,独立董事专门会议工作细则（2025年4月）,,,
18,比亚迪,2024-03-27,关于公司在比亚迪汽车金融有限公司办理存款业务暨关联交易的公告,,,
19,比亚迪,2024-04-02,2024年3月产销快报,,,
20,阳光电源,2025-06-13,2024年年度报告（英文简版）,,,
21,宁德时代,2025-03-15,关于2024年度计提减值准备的公告,,,
22,宁德时代,2025-04-07,第四届监事会第三次会议决议公告,,,
23,宁德时代,2025-03-15,《对外投资管理制度（草案）》（H股发行并上市后适用）,,,
24,比亚迪,2024-01-02,2023年12月产销快报,,,
25,宁德时代,2024-12-27,《宁德时代新能源科技股份有限公司董事会议事规则》（草案）（H股发行并上市后适用）,,,
26,宁德时代,2024-01-31,2023年年度业绩预告,,,
27,比亚迪,2026-06-02,2026年5月产销快报,,,
28,阳光电源,2024-04-23,关于2023年第四季度计提信用减值准备和资产减值准备的公告,,,
29,宁德时代,2026-04-16,上海市通力律师事务所关于宁德时代新能源科技股份有限公司调整股权激励计划及员工持股计划相关价格的法律意见书,,,
30,比亚迪,2025-04-08,2025年第一季度业绩预告,,,
31,比亚迪,2024-10-31,关于2024年前三季度计提信用及资产减值损失的公告,,,
32,比亚迪,2024-03-27,关于修订《公司章程》的公告,,,
33,宁德时代,2026-04-23,简式权益变动报告书,,,
34,比亚迪,2025-10-31,内幕信息知情人管理制度（2025年10月）,,,
35,宁德时代,2025-06-19,中信建投证券股份有限公司关于宁德时代新能源科技股份有限公司使用部分闲置募集资金进行现金管理的核查意见,,,
36,比亚迪,2025-03-26,H股公告（2024年年报）,,,
37,宁德时代,2024-10-19,关于2024年前三季度计提减值准备的公告,,,
38,阳光电源,2026-04-13,关于董事会换届选举的公告,,,
39,宁德时代,2024-07-27,关于2024年半年度募集资金存放与使用情况的专项报告,,,
40,宁德时代,2025-12-06,关于2025年度新增对子公司担保额度的公告,,,
41,宁德时代,2026-01-09,第四届董事会第十二次会议决议公告,,,
42,阳光电源,2024-04-23,2024年一季度报告,,,
43,宁德时代,2026-04-03,关于变更部分A股募集资金用途后新签订募集资金三方监管协议的公告,,,
44,宁德时代,2025-03-15,《投资者关系管理制度》（2025年3月修订）,,,
45,宁德时代,2026-03-10,2025年年度报告摘要,,,
46,阳光电源,2024-10-18,关于控股子公司收购合肥泰禾智能科技集团股份有限公司控制权暨签订相关协议的公告,,,
47,阳光电源,2025-08-26,提名委员会工作细则（草案）（H股发行并上市后适用）,,,
48,阳光电源,2024-02-02,关于拟与专业投资机构共同投资设立合伙企业的公告,,,
49,宁德时代,2024-03-16,2023年年度报告摘要,,,
50,宁德时代,2025-10-20,H股公告（关连交易-订立设备及服务采购协议）,,,
51,比亚迪,2024-05-06,2024年4月产销快报,,,
52,阳光电源,2025-08-26,关于2023年限制性股票激励计划预留授予部分第一个归属期归属条件成就及相关事项的公告,,,
53,比亚迪,2026-04-02,2026年3月产销快报,,,
54,阳光电源,2024-01-22,2023年年度业绩预告,,,
55,比亚迪,2024-06-07,公司章程（2024年6月）,,,
56,阳光电源,2025-08-26,2025年半年度报告,,,
57,比亚迪,2025-08-02,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,,,
58,比亚迪,2025-12-02,2025年11月产销快报,,,
59,比亚迪,2026-08-03,2026年7月产销快报,,,
