关系样本ID,事件样本ID,查询ID,公司,证券代码,检索截止时间,查询假设,候选文档ID,候选公告标题,候选发布日期,候选原文链接,关键证据定位,关键证据原文,相关性等级,关系路径可成立,标注理由,标注员,标注时间
V4-R-Q001-C04,V4-E-Q001-C04,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00290,战略及可持续发展委员会实施细则（2025年10月）,2025-10-31T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-10-31/1224776134.PDF,第1页,1 比亚迪股份有限公司 战略及可持续发展委员会实施细则 第一条 目标 （一）为适应公司战略及可持续发展需要，增强公司核心竞争力，确定公 司可持续发展规划，健全投资决策程序，加强决策科学性，提高重大投资决策 的效率和决策的质量，深化可持续发展导向的战略变革，完善公司治理结构， 提升可持续发展水平，根据有关法律、法规、规章、规范性文件和《比亚迪股 份有限公司章程》（下称“《公司章程》”）的规定，结合公司实际情况，制 定本实施细则。 （二）战略及可持续发展委员会是公司董事会下设的专门委员会，对董事 会负责。 （三）战略及可持续发展委员会主要负责对公司长期发展战略、重大投资 决策和可持续发展进行研究并提出建议。 第二条 战略及可持续发展委员会委员 （一）战略及可持续发展委员会由三至五名公司董事组成。 （二）战略及可持续发展委员会委员由董事会任命和解聘。 （三）战略及可持续发展委员会委员任期与董事任期一致。委员任期届满 后，连选可以连任。期间如有委员不再担任公司董事职务，为使战略及可持续 发展委员会的人员组成符合本实施细则的要求，董事会应根据本实施细则及时 补足委员人数。在董事会根据本实施细则及时补足委员人数之前，原委员仍按 该实施细则履行相关职权。 （四）战略及可持续发展委员会设主席一名。主席人选由董事长提名、董 事会审议通过产生。 第三条 战略及可持续发展委员会的运作 （一）战略及可持续发展委员会会议经过半数的委员或战略及可持续发展 委员会主席提议可召开； （二）公司原则上应当不…,,,,,
V4-R-Q001-C02,V4-E-Q001-C02,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00204,2024年度可持续发展报告,2025-03-25T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-03-25/1222881489.PDF,第152页,立之 组织，对该机构、其附属机构和利益相关方不存在偏见和利益冲突。 本次鉴证团队由具备与此项任务有关的知识、经验和资质的人员组成。 发现与结论 鉴证/验证意见 基于上述方法论和所进行的鉴证，比亚迪股份有限公司2024年度可持续发展报告中包含的信息和数据是准确的、 可靠的，对比亚迪在2024年度可持续发展报告的可持续发展活动提供了公正和中肯的陈述。 报告遵循AA1000AS v 3中四个原则的程度如下： 包容性 报告识别了组织的利益相关方，收集了利益相关方的期望和诉求，确定了利益相关方沟通与参与的方式，并采取 不同方式进行沟通和交流。 实质性 报告根据确定的利益相关方的关注议题，合理的披露了对利益相关方的评价和决策有实质性影响的重要议题和指 标，反映了组织对经济、环境和社会的重要影响。 回应性 报告展现了与利益相关方互动的渠道，充分回应其诉求和期望，并就实质性议题进行了一定程度的透明回应。 影响性 报告呈现了对与环境，社会和治理有关主题的主要活动影响的监视和测量。 基于香港交易所上市规则附录C2《环境、社会及管治报告守则》及全球报告倡议组织《可持续发展报告标准》的 鉴证结论 鉴证团队认为，比亚迪股份有限公司2024年度可持续发展报告遵循了香港交易所上市规则附录C2《环境、社会 及管治报告守则》的披露要求，并且参照了GRI Standards 2021的要求。 签字： 代表通标标准技术服务有限公司 David Xin Sr. Director– Business A ssura…,,,,,
V4-R-Q001-C03,V4-E-Q001-C03,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00213,战略及可持续发展委员会实施细则,2025-03-25T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2025-03-25/1222881511.PDF,第1页,1 比亚迪股份有限公司 战略及可持续发展委员会实施细则 第一条 目标 （一）为适应公司战略及可持续发展发展需要，增强公司核心竞争力，确 定公司可持续发展规划，健全投资决策程序，加强决策科学性，提高重大投资 决策的效率和决策的质量，深化可持续发展导向的战略变革，完善公司治理结 构，提升可持续发展水平，根据有关法律、法规、规章、 规范性文件和《比亚 迪股份有限公司章程》（下称“《公司章程》”）的规定，结合公司实际情况， 制定本实施细则。 （二）战略及可持续发展委员会是公司董事会下设的专门委员会，对董事 会负责。 （三）战略及可持续发展委员会主要负责对公司长期发展战略、重大投资 决策和可持续发展进行研究并提出建议。 第二条 战略及可持续发展委员会委员 （一）战略及可持续发展委员会由三至五名公司董事组成。 （二）战略及可持续发展委员会委员由董事会任命和解聘。 （三）战略及可持续发展委员会委员任期与董事任期一致。委员任期届满 后，连选可以连任。期间如有委员不再担任本公司董事职务，为使战略及可持 续发展委员会的人员组成符合本实施细则的要求，董事会应根据本实施细则及 时补足委员人数。在董事会根据本实施细则及时补足委员人数之前，原委员仍 按该实施细则履行相关职权。 （四）战略及可持续发展委员会设主席一名。主席人选由董事长提名、董 事会审议通过产生。 第三条 战略及可持续发展委员会的运作 （一）战略及可持续发展委员会会议经二分之一以上委员或战略及可持续 发展委员会主席提议可召开； （二）公司…,,,,,
V4-R-Q001-C06,V4-E-Q001-C06,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00340,关于召开2025年年度报告网上说明会并征集问题的公告,2026-03-28T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2026-03-28/1225045372.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2026-015 比亚迪股份有限公司 关于召开2025年年度报告网上说明会并征集问题的公告 本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“公司”）已于今日在巨潮资讯网 (www.cninfo.com.cn)披露公司《2025年年度报告》全文及其摘要，供全体股东和 投资者查询参阅。 为使广大投资者进一步详细了解公司年报信息，公司将于2026年4月1日（星 期三）下午15：00-17:00通过路演中的路演中心平台举行2025年年度报告网上说 明会。本次说明会将采用网络远程方式举行，投资者可登陆“路演中-路演中心” （参会链接：https://www.roadshowchina.cn/w/meet/p5aN7p）参与本次说明会。 同时，为更高质量地与投资者沟通交流、提高投资者的参会体验，公司现就 2025年度业绩和经营情况提前向投资者征集相关问题。投资者可扫描下方二维码 登录“比亚迪股东星球”微信小程序，在“资讯”首页“股东建言”板块留言提 问。公司将于2025年年度报告网上说明会上对投资者普遍关注的问题进行回答。 出席本次说明会的人员有：公司董事长兼总裁王传福先生、独立董事张敏先 生、高级副总裁兼财务总监周亚琳女士、董事会秘书及公司秘书李黔先生、证券 事务代表吴越先生。,,,,,
V4-R-Q001-C01,V4-E-Q001-C01,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00357,2025年度可持续发展报告,2026-03-28T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2026-03-28/1225045371.PDF,第8页,72025 比亚迪可持续发展报告 开篇 D绿色低碳 R创新变革 E平等机会 A协同合作 M诚信守正 S价值共享 附录 鉴证声明 汽车领域 作为全球最大的新能源汽车企业 ，比亚迪掌握电池、 电机、 电控等电动汽车全产业链核心技术， 从自主创 新到全面开放创新， 持续引领全球新能源汽车变革。 经过长期坚守，近年来比亚迪凭借刀片电池、 DM-i超 级混动、超级e平台、易四方、云辇系统及天神之眼 、 闪充等颠覆性技术接连推出， 迎来前所未有的巨大发 展期，2025年累计销售新能源汽车 460万辆，蝉联全 球新能源汽车销量冠军；其中， 海外销量突破100万辆， 同比增长145%。比亚迪新能源汽车运营足迹已遍及全 球100多个国家和地区的 400多个城市，持续为全球消 费者提供绿色技术和产品。 电子领域 比亚迪电子 （国际）有限公司2007年于香港分拆上市 （股票代码： 00285.HK），2024年被纳入香港恒生 指数，已发展成为全球领先的高科技创新产品提供商。 依托电子信息技术 、人工智能技术 、5G和物联网技术 、 热管理技术、 新材料技术、 精密模具技术和数字化制 造技术等核心优势， 为全球客户提供一站式产品解决 方案。 业务涵盖智能手机、 平板电脑 、新能源汽车、 AI数据中心、智能家居、游戏硬件、无人机、3D打印 机、物联网、 机器人、通讯设备等多元化的市场领域。 新能源领域 比亚迪作为新能源整体解决方案提供商， 拥有电池、 太阳能、 储能等新能源产品， 打通能源从获取、…,,,,,
V4-R-Q001-C07,V4-E-Q001-C07,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00150,2024年三季度报告,2024-10-31T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2024-10-31/1221574602.PDF,第6页,"比亚迪股份有限公司 2024 年第三季度报告 6 基于对国家“双碳”目标下新能源行业前景和公司未来发展的信心，对公司价值的认可，以及对国内资本市场长期投资 价值的持续看好，公司高级副总裁罗红斌先生、高级副总裁兼财务总监周亚琳女士、高级副总裁杨冬生先生、副总裁罗 忠良先生、副总裁李巍女士于 2024 年9 月2 日至2024 年9月 9 日期间通过深圳证券交易所交易系统以集中竞价交易方 式增持公司 A 股股份共计58,100 股，增持金额共计14,657,247.00 元；公司其他 33 名核心人员亦通过深圳证券交易所 交易系统以集中竞价交易方式增持公司 A 股股份共计83,900 股，增持金额共计 20,796,366.00 元。以上增持主体本次增 持公司 A 股股份合计142,000股，增持金额合计 35,453,613.00 元。具体内容详见公司于 2024 年9 月 11 日在巨潮资讯 网（www.cninfo.com.cn）上披露的《关于高级管理人员、核心人员增持公司股份的公告》 （公告编号：2024-071）。 四、季度财务报表 （一） 财务报表 1、合并资产负债表 编制单位：比亚迪股份有限公司 2024 年09 月 30 日 单位：元 项目 期末余额 期初余额 流动资产： 货币资金 66,319,375,000.00 109,094,408,000.00 交易性金融资产 25,415,146,000.00 9,562,550,000.00 应收账款 79,443…",,,,,
V4-R-Q001-C05,V4-E-Q001-C05,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00018,关于收到董事长提议增加回购公司股份金额的提示性公告,2024-02-26T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2024-02-26/1219171246.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2024-015 比亚迪股份有限公司 关于收到董事长提议增加回购公司股份金额的提示性公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”）于2024年2月22日 收到公司实际控制人、董事长兼总裁王传福先生（以下简称“提议人”）《关于 提议比亚迪股份有限公司增加回购公司A股股份金额的函》，具体内容如下： 一、提议人的基本情况及提议时间 1、提议人：公司实际控制人、董事长兼总裁王传福先生 2、提议时间：2024年2月23日 二、提议增加回购股份金额的原因和目的 公司实际控制人、董事长兼总裁王传福先生于2023年12月6日提议公司通过 集中竞价交易方式回购部分公司A股股份，回购股份的资金总额为人民币2亿元， 具体内容详见公司披露于巨潮资讯网（www.cninfo.com.cn）的《关于收到董事 长提议回购公司股份的提示性公告》（公告编号：2023-121）。 基于对国家“双碳”目标下新能源行业前景和公司未来发展的信心，以及对 公司价值的认可，为更好维护公司全体股东利益，增强投资者信心，稳定及提升 公司价值，王传福先生提议将回购金额由人民币2亿元增加至人民币4亿元，并用 于减少注册资本。 三、提议内容 1、回购股份的种类：公司发行的人民币普通股（A股）。 2、回购股份的用途：本次回购的股份将用于减少注册资本，具体由公司董 事会依…,,,,,
V4-R-Q001-C08,V4-E-Q001-C08,V4-Q001,比亚迪,002594,2026-08-26T18:00:00+08:00,海外销量增长能否持续抵消国内价格竞争对收入的压力,DOC-EVT-002594-00155,关于比亚迪股份有限公司2024年第二次临时股东会的法律意见书,2024-11-06T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2024-11-06/1221638067.PDF,第7页,法律意见书 （本页无正文， 为 《北京市中伦 （深圳） 律师事务所关于比亚迪股份有限公司2024 年第二次临时股东会的法律意见书》之签署页） 北京市中伦（深圳）律师事务所（盖章） 负责人： 经办律师： 赖继红 孔维维 郭子威 2024 年 11月 5 日,,,,,
V4-R-Q002-C08,V4-E-Q002-C08,V4-Q002,比亚迪,002594,2026-08-26T18:00:00+08:00,高端车型与产品结构升级能否改善汽车业务单车盈利,DOC-EVT-002594-00359,关于在比亚迪汽车金融有限公司办理存款业务暨关联交易的公告,2026-03-28T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2026-03-28/1225045365.PDF,第1页,1 证券代码：002594 证券简称：比亚迪 公告编号：2026-010 比亚迪股份有限公司 关于在比亚迪汽车金融有限公司办理存款业务暨关联交易的公告 本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假 记载、误导性陈述或重大遗漏。 一、交易概述 为提高比亚迪股份有限公司（以下简称“本公司”或“公司”或“比亚迪”） 及其控股子公司（以下合称“集团”或“本集团”）资金使用效率，并促进集团 与公司参股公司比亚迪汽车金融有限公司（以下简称“比亚迪汽车金融”）的业 务共同发展，公司于2026年3月27日召开第八届董事会第二十二次会议，审议并 通过了《关于审议公司在比亚迪汽车金融有限公司办理存款业务暨关联交易的议 案》，本集团拟在比亚迪汽车金融办理股东存款业务，存款业务的额度上限为人 民币400亿元，并按照中国人民银行公布的中国金融机构存款基准利率加上上浮 幅度（上浮幅度由双方依据市场利率、融资成本、市场回报率等综合因素协商确 定）计付存款利息，存款利息上限为人民币12亿元。上述交易的有效期为董事会 审议通过之日起一年内。 比亚迪汽车金融为本公司联营合营企业，本公司高级副总裁兼财务总监周亚 琳女士担任比亚迪汽车金融董事长之职。根据《深圳证券交易所股票上市规则》 6.3.3条规定，比亚迪汽车金融与本公司构成关联关系。 本项关联交易金额在董事会审批权限范围内，无需提交公司股东会审议，不 构成《上市公司重大资产重组管理办法》规定的重大资产重组。 二、交易对方的基本情况 （1…,,,,,
V4-R-Q002-C04,V4-E-Q002-C04,V4-Q002,比亚迪,002594,2026-08-26T18:00:00+08:00,高端车型与产品结构升级能否改善汽车业务单车盈利,DOC-EVT-002594-00040,关于持股5%以上股东参与转融通证券出借业务期限届满的公告,2024-03-22T00:00:00+08:00,http://static.cninfo.com.cn/finalpage/2024-03-22/1219373799.PDF,第1页,"证券代码：002594 证券简称：比亚迪 公告编号：2024-026 比亚迪股份有限公司 关于持股5%以上股东参与转融通证券出借业务期限届满的公告 持股5%以上的股东融捷投资控股集团有限公司保证向本公司提供的信息内 容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。 本公司及董事会全体成员保证公告内容与信息披露义务人提供的信息一致。 比亚迪股份有限公司（以下简称“公司”或“本公司”）于2023年9月2日披 露了 《关于持股5%以上股东参与转融通证券出借业务期限届满暨继续参与转融通 证券出借业务的预披露公告》（公告编号：2023-089），公司持股5%以上股东融 捷投资控股集团有限公司（以下简称“融捷投资控股”）将所持有的公司A股股 份不超过8,000,000股出借给中国证券金融股份有限公司，用于参与转融通证券 出借交易，参与期间为公告披露之日起15个交易日后的6个月内，出借股份未超 过公司总股本的1%（以下简称“本次转融通证券出借业务”）。 一、股东参与转融通证券出借业务期限届满的情况 公司于近日收到融捷投资控股 《关于开展转融通证券出借业务期限届满的告 知函》，截至2024年3月21日，本次转融通证券出借业务期限已届满。 二、其他相关说明 （一）融捷投资控股前次转融通证券出借业务未违反 《公司法》 、 《证券法》 、 《转融通业务监督管理试行办法》、《深圳证券交易所股票上市规则》、《深圳 证券交易所上市公司自律监管指引第1号——主板上市公司规范运作》、《深圳 证券交…",,,,,
