case_id,company_name,period,candidate_direction,proxy_gold_direction,source_document_id,source_url,locator,researcher_name,researcher_decision,researcher_direction,researcher_reason,reviewed_at
semi-smic-2024,中芯国际,2024Q2,支持,支持,SMIC-2024Q2,https://www.smics.com/site/news_read/3648,二零二四年第二季财务摘要,,,,,
semi-smic-2024,中芯国际,2024Q3,支持,支持,SMIC-2024Q3,https://www.smics.com/uploads/672c8ac5/Q3_2024%20Financials%20Presentation.pdf,"Income Statement, Revenue",,,,,
semi-smic-2024,中芯国际,2024Q4,支持,支持,SMIC-2024Q4,https://www.smics.com/jp/site/news_read/7783,Fourth Quarter 2024 Highlights,,,,,
semi-gigadevice-2024,兆易创新,2024Q2,支持,支持,GIGA-2024H1,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-08-21/d1a19c6b5ece11ef8f5bfa163e26e5de.pdf,半年度累计减第一季度；年报分季度表复核,,,,,
semi-gigadevice-2024,兆易创新,2024Q3,支持,支持,GIGA-2024Q3,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-10-26/603986_20241026_XYDF.pdf,主要财务数据,,,,,
semi-gigadevice-2024,兆易创新,2024Q4,支持,支持,GIGA-2024FY,https://static.cninfo.com.cn/finalpage/2025-04-26/1223305062.PDF,2024年分季度主要财务数据,,,,,
semi-naura-2024,北方华创,2024Q2,支持,支持,NAURA-2024H1,https://static.cninfo.com.cn/finalpage/2024-08-28/1221004535.PDF,半年度累计减第一季度；年报分季度表复核,,,,,
semi-naura-2024,北方华创,2024Q3,支持,支持,NAURA-2024Q3,https://static.cninfo.com.cn/finalpage/2024-10-30/1221555085.PDF,主要财务数据；年报分季度表复核,,,,,
semi-naura-2024,北方华创,2024Q4,支持,支持,NAURA-2024FY,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-25/4ce4041b-f90f-4ea3-a356-ea973d30f036.PDF,分季度主要财务指标,,,,,
pharma-hengrui-2024,恒瑞医药,2024Q2,支持,支持,HENGRUI-2024H1,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-08-22/600276_20240822_Y4KU.pdf,半年度累计减第一季度；年报分季度表复核,,,,,
pharma-hengrui-2024,恒瑞医药,2024Q3,支持,支持,HENGRUI-2024Q3,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-10-25/600276_20241025_BW56.pdf,主要财务数据,,,,,
pharma-hengrui-2024,恒瑞医药,2024Q4,支持,支持,HENGRUI-2024FY,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10831657&stockid=600276,2024年分季度主要财务数据,,,,,
pharma-wuxi-2024,药明康德,2024Q2,支持,支持,WUXI-2024H1,https://officialsite-static.wuxiapptec.com/upload/bc/20240729/2024%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,半年度累计减第一季度；年报分季度表复核,,,,,
pharma-wuxi-2024,药明康德,2024Q3,支持,支持,WUXI-2024Q3,https://officialsite-static.wuxiapptec.com/upload/2024_871da4f980.pdf,主要财务数据,,,,,
pharma-wuxi-2024,药明康德,2024Q4,支持,支持,WUXI-2024FY,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0317/2025031701658_c.pdf,分季度主要财务数据,,,,,
pharma-yunnan-baiyao-2024,云南白药,2024Q2,冲突,冲突,YNBY-2024H1,https://static.cninfo.com.cn/finalpage/2024-08-27/1220987156.PDF,半年度累计减第一季度；年报分季度表复核,,,,,
pharma-yunnan-baiyao-2024,云南白药,2024Q3,冲突,冲突,YNBY-2024Q3,https://static.cninfo.com.cn/finalpage/2024-10-30/1221560388.PDF,主要财务数据,,,,,
pharma-yunnan-baiyao-2024,云南白药,2024Q4,支持,支持,YNBY-2024FY,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10838403&stockid=000538,分季度主要会计数据,,,,,
nev-byd-2024,比亚迪,2024Q2,支持,支持,BYD-2024M06,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10002250&gather=1&id=10308088,"上半年累计1,612,983减一季度626,263",,,,,
nev-byd-2024,比亚迪,2024Q3,支持,支持,BYD-2024M09,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10511294&stockid=002594,"前三季度累计2,747,875减上半年1,612,983",,,,,
nev-byd-2024,比亚迪,2024Q4,支持,支持,BYD-2024M12,https://www.bydglobal.com/sites/Satellite/BYD%20PDF%20Viewer?blobcol=urldata&blobheader=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1638928484684&ssbinary=true,"全年累计4,272,145减前三季度2,747,875",,,,,
nev-geely-2024,吉利汽车,2024Q2,支持,支持,GEELY-2024M06,https://www.geelyauto.com.hk/wp-content/uploads/2024/07/Geely_2024_June_sales_CN_final.pdf,"上半年累计955,730减一季度475,720",,,,,
nev-geely-2024,吉利汽车,2024Q3,支持,支持,GEELY-2024M09,https://www.geelyauto.com.hk/wp-content/uploads/2024/10/Geely_2024_Sept-sales_EN_1.pdf,"前三季度累计1,489,690减上半年955,730",,,,,
nev-geely-2024,吉利汽车,2024Q4,支持,支持,GEELY-2024M12,https://www.geelyauto.com.hk/wp-content/uploads/2025/01/Geely_2024_Dec_-sales_EN_Final.pdf,"全年累计2,176,567减前三季度1,489,690",,,,,
nev-xpeng-2024,小鹏汽车,2024Q2,支持,支持,XPENG-2024Q2,https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-second-quarter-2024-unaudited-financial-results,total deliveries,,,,,
nev-xpeng-2024,小鹏汽车,2024Q3,支持,支持,XPENG-2024Q3,https://ir.xiaopeng.com/zh-hans/news-releases/news-release-details/xpeng-announces-vehicle-delivery-results-september-and-third-3,third quarter deliveries,,,,,
nev-xpeng-2024,小鹏汽车,2024Q4,支持,支持,XPENG-2024Q4,https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-announces-vehicle-delivery-results-december-and-fourth-2,fourth quarter deliveries,,,,,
