序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
1,G3-E061,中芯国际,688981,芯片半导体,A股,2026-04-09T00:00:00+08:00,仅日期（按盘后处理）,港股公告：2025年年报,http://static.cninfo.com.cn/finalpage/2026-04-09/1225084819.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告原文为扫描版，正文文本无法提取，无法可靠核对年报中的经营与财务事实。,收入/利润,H2-盈利质量,支持,高,直接,,年报披露2025年收入同比增长16.2%、毛利率同比提升3.0个百分点、归母净利润同比增长56.0%，均为直接且充分的盈利质量指标，构成高强度支持。,1,正文不可提取,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
2,G3-E117,药明康德,603259,医药,A股,2026-07-02T00:00:00+08:00,仅日期（按盘后处理）,第四届董事会第四次会议决议公告,http://static.cninfo.com.cn/finalpage/2026-07-02/1225403740.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露第四届董事会第四次会议决议公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2026-028 无锡药明康德新药开发股份有限公司 第四届董事会第四次会议决议公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 一、董事会会议召开情况 无锡药明康德新药开发股份有限公司（以下简称“本公司”）于 2026 年 6 月 26 日向本公司全体董事发出会议通知及会议材料，以通讯表决方式于2026 年 7 月 1 日召开第四届董事会第四次会议。本次董事会应出席董事 11 人，实际出 席董事 11 人。会议由董事长 GeLi（李革）召集。本次,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
3,G3-E035,恒瑞医药,600276,医药,A股,2024-05-22T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药品注册证书的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临2024-065 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家…,研发/注册,H3-产能与扩张,支持,高,直接,"第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2024-065 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发氟唑帕利胶囊的《药品注册证书》， 批准公司研发的1 类新药、PARP 抑制剂氟唑帕利胶囊新适应症上市,这是氟唑帕 利获批上市的第 3 个适应症，现将相关情况公告如下： 一、 药品的基本情况 药品名称：氟唑帕利胶囊 剂型：胶囊剂 规…",1类新药氟唑帕利第三个适应症获批上市，是明确的注册与管线里程碑，直接验证研发管线持续推进且未出现该品种失败，构成高强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
4,G3-E040,北方华创,002371,芯片半导体,A股,2025-11-06T00:00:00+08:00,仅日期（按盘后处理）,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公告披露关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：一、募集资金基本情况 经中国证券监督管理委员会出具的《关于核准北方华创科技集团股份有限公 司非公开发行股票的批复》（证监许可[2021]2710 号）核准，北方华创科技集团 股份有限公司（以下简称“公司”）非公开发行人民币普通股（A 股）27,960,526 股，每股发行价为人民币 304 元，共计募集资金总额人民币 8,499,999,904.00 元， 扣除各项发行费用人民币 47,913,170.30 元（不含增值税），实际募集资金净额 为人民币 8,452,086,733.70 元。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
5,G3-E088,兆易创新,603986,芯片半导体,A股,2024-01-26T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-26/1219003543.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,"公司披露兆易创新2023年度业绩预告，核心事实为：体董事保证本公告内容不存在任何虚假记载、误导性 陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示： 1. 公司预计 2023 年归属于上市公司股东的净利润为 15,500 万元左右，与 上年同期相比减少 189,757 万元左右，同比降幅 92.45%左右。 2. 公司预计 2023 年…",收入/利润,H2-盈利质量,冲突,高,直接,"第1页：体董事保证本公告内容不存在任何虚假记载、误导性 陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示： 1. 公司预计 2023 年归属于上市公司股东的净利润为 15,500 万元左右，与 上年同期相比减少 189,757 万元左右，同比降幅 92.45%左右。 2. 公司预计 2023 年归属于上市公司股东扣除非经常性损益后的净利润为 2,200 万元左右，与上年同期相比减少 188,753 万元左右， 同比降幅 98.85%左右。 3. 公司预计 2023 年度实现营业收入 57.66 亿元左右，与上年同期相比减少 23.64 亿元左右，同比下降 29.08%左…",该事实直接观察到相关指标或里程碑，降低“毛利率随产品结构改善回升，不因存储价格波动持续走低”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
6,G3-E068,比亚迪,002594,新能源汽车,A股,2026-04-02T00:00:00+08:00,仅日期（按盘后处理）,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,"公司披露2026年3月产销快报，核心事实为：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年3月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -3…",产销/需求,H1-需求与出货,冲突,高,直接,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年3月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -33.02% 300,222 377,420 700,463 1,000,804 -30.01% -乘用车 295,412 388,877 695,772 1,041,899 -33.22% 295,693 371,419 688,993 986,098 -30.13% -纯电动…",该事实直接观察到相关指标或里程碑，降低“新能源汽车销量保持增长，出口占比提升对冲国内价格压力”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
7,G3-E016,吉利汽车,00175,新能源汽车,港股,2025-10-01T23:59:59+08:00,精确,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二五年九月销量，核心事实为：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 374,099 216,520 73 其中： 出口 注1 40,665 40,319 1 296,128 319,121 -7 注1：出口指中華人民共和國（包括香港、澳門特",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
8,G3-E017,北方华创,002371,芯片半导体,A股,2024-04-30T00:00:00+08:00,仅日期（按盘后处理）,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公司披露关于公司2024年度日常关联交易预计的公告，核心事实为：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销…,订单/合同,H1-需求与出货,中性,低,间接,第4页：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销售商品与 采购原材料交易属于公司的日常业务活动， 该等交易是以市场交易价格为基础， 各方平等协商确定，定价依据合理，相关交易公平、公正，符合公司整体利益。 四、关联交易目的和对上市公司的影响 公司与上述关联方的日常关联交易是公司业务发展及生产经营的需要，对 于公司的生产经营是必要…,该事实需经过一层清晰的业务因果链，与该假设相关但尚不足以确定提高或降低“半导体设备订单随晶圆厂扩产与国产化率提升保持增长”的可信度。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
9,G3-E054,药明康德,603259,医药,A股,2025-07-29T00:00:00+08:00,仅日期（按盘后处理）,关于2025年中期利润分配方案的公告,http://static.cninfo.com.cn/finalpage/2025-07-29/1224317423.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,"公司披露关于2025年中期利润分配方案的公告，核心事实为：提交公司股东大会审议。 一、利润分配方案内容 截至 2025 年 6 月 30 日，无锡药明康德新药开发股份有限公司（以下简称“公 司”）2025 年上半年实现归属于母公司所有者的净利润（合并口径）为人民币 8,560,882,627.56 元，母公司未分配利润为人民币 1,136,063,767.07 元。根据《公…",收入/利润,H2-盈利质量,支持,中,直接,"第1页：提交公司股东大会审议。 一、利润分配方案内容 截至 2025 年 6 月 30 日，无锡药明康德新药开发股份有限公司（以下简称“公 司”）2025 年上半年实现归属于母公司所有者的净利润（合并口径）为人民币 8,560,882,627.56 元，母公司未分配利润为人民币 1,136,063,767.07 元。根据《公 司法》等相关法律法规、公司股票上市地证券交易所的上市规则以及《公司章程》 的规定，经董事会决议，公司 2025 年中期利润分配方案如下： 公司拟向全体股东每 10 股派发现金红利人民币 3.5000 元（含税）。以本公 告日公司总股本扣除截至2025年7月25日公司回购专用证券账…",利润分配公告同时直接披露2025年上半年归母净利润85.61亿元和未分配利润，属于实际盈利结果；但缺少同比、毛利率及项目结构信息，对H2支持强度取中。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
10,G3-E031,药明康德,603259,医药,A股,2024-01-03T00:00:00+08:00,仅日期（按盘后处理）,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
