event_id,company,title,category,annotator_a_hypothesis,annotator_a_direction,annotator_b_hypothesis,annotator_b_direction
EVT-600276-00001,恒瑞医药,恒瑞医药关于公司药物获得美国FDA快速通道资格的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00001,兆易创新,兆易创新关于使用闲置募集资金进行现金管理的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00003,恒瑞医药,恒瑞医药关于子公司获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00004,恒瑞医药,恒瑞医药关于药物上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00002,兆易创新,兆易创新关于使用闲置募集资金进行现金管理的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00005,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00006,恒瑞医药,恒瑞医药关于子公司获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00007,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00008,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-002371-00001,北方华创,收购报告书摘要,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00005,北方华创,收购报告书,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00006,北方华创,关于《北方华创科技集团股份有限公司收购报告书》之法律意见书,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00009,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00011,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00012,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00014,恒瑞医药,恒瑞医药关于子公司药物拟纳入突破性治疗品种名单公示的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00015,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-00175-00008,吉利汽车,有关整车采购协议及营运服务协议之获豁免持续关连交易,订单与合同,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00016,恒瑞医药,恒瑞医药关于子公司药物上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00017,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00018,恒瑞医药,恒瑞医药关于公司药物获得美国FDA快速通道资格的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00019,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00020,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00022,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00023,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603259-00052,药明康德,2023年度募集资金存放与实际使用情况的专项报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603259-00053,药明康德,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603259-00072,药明康德,华泰联合证券有限责任公司关于无锡药明康德新药开发股份有限公司2023年年度募集资金存放与实际使用情况的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00024,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00025,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-688981-00018,中芯国际,中芯国际2023年度募集资金存放与实际使用情况鉴证报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-688981-00022,中芯国际,海通证券股份有限公司、中国国际金融股份有限公司关于中芯国际集成电路制造有限公司2023年度募集资金存放与使用情况的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-688981-00027,中芯国际,中芯国际2023年年度募集资金存放与实际使用情况专项报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00026,恒瑞医药,恒瑞医药关于公司药物获得美国FDA快速通道资格的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00027,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00029,恒瑞医药,恒瑞医药关于药品纳入突破性治疗品种的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00030,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00031,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00032,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00033,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00034,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
