序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
101,G3-R-E004-H1,G3-E004,603986-H1,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,0-无关,否,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
168,G3-R-E004-H2,G3-E004,603986-H2,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,0-无关,否,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
156,G3-R-E004-H3,G3-E004,603986-H3,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,0-无关,否,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
150,G3-R-E005-H1,G3-E005,00175-H1,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,3-直接相关,是,"第1页：核之 二零二 六 年 六 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 六 月 的 汽車 總銷量為240,799 部， 較去年同期增長約2% 。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 186,564 193,024 -3 1,100,373 1,164,303 -5 其中: 銀河 108,206 90,222 20 519,793 548,408 -5 領克 19,066 26,310 -28 144,215 1…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
86,G3-R-E005-H2,G3-E005,00175-H2,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,2-间接相关,是,"第1页：核之 二零二 六 年 六 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 六 月 的 汽車 總銷量為240,799 部， 較去年同期增長約2% 。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 186,564 193,024 -3 1,100,373 1,164,303 -5 其中: 銀河 108,206 90,222 20 519,793 548,408 -5 領克 19,066 26,310 -28 144,215 1…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
111,G3-R-E007-H1,G3-E007,603259-H1,药明康德,603259,医药,2024-03-19T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,2-间接相关,是,第4页：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
166,G3-R-E007-H3,G3-E007,603259-H3,药明康德,603259,医药,2024-03-19T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,3-直接相关,是,第4页：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
70,G3-R-E009-H1,G3-E009,002594-H1,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,3-直接相关,是,"第1页：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2024年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50%…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
179,G3-R-E009-H2,G3-E009,002594-H2,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,2-间接相关,是,"第1页：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2024年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50%…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
52,G3-R-E010-H1,G3-E010,603986-H1,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,2-间接相关,是,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
