package_version,sample_id,event_id,source_record_sha256,security_id,company,industry,market,disclosure_time,disclosure_time_precise,title,url,sampling_category,dataset_split,core_view,h1,h2,h3,frozen_order
independent-gold-v3-20260826,G3-E001,EVT-603986-00508,c44eff11b78c9dd8e76a2fe19a328fe91b0d1e40453622f17c28bd5fcf2ed20a,603986,兆易创新,芯片半导体,A股,2026-08-01T00:00:00+08:00,False,兆易创新第五届董事会第十四次会议决议公告,http://static.cninfo.com.cn/finalpage/2026-08-01/1225450991.PDF,治理,out_of_sample,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,1
independent-gold-v3-20260826,G3-E002,EVT-603259-00415,a1947e9d40c659a076ac24765326135d83de705bea14fce571ab7488050ee393,603259,药明康德,医药,A股,2025-10-27T00:00:00+08:00,False,2025年第三季度报告,http://static.cninfo.com.cn/finalpage/2025-10-27/1224737987.PDF,定期报告,out_of_sample,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,2
independent-gold-v3-20260826,G3-E003,EVT-603986-00499,f16a67225821b981b3b08e107eff83ad41b6eeca4613fe8e6f94f32155d0644f,603986,兆易创新,芯片半导体,A股,2026-07-22T00:00:00+08:00,False,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435926.PDF,投资与产能,out_of_sample,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,3
independent-gold-v3-20260826,G3-E004,EVT-603986-00507,c47cdda53cadae4350ecf26e8924ed37e80dfb6832fb13468be9a965b071e641,603986,兆易创新,芯片半导体,A股,2026-07-30T00:00:00+08:00,False,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,回购与持股变动,out_of_sample,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,4
independent-gold-v3-20260826,G3-E005,EVT-00175-00439,80e506f71f83afec66b419d7e1b168dc671716d242de339f53b3370bfec95d57,00175,吉利汽车,新能源汽车,港股,2026-07-01T18:12:27+08:00,True,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,产销数据,out_of_sample,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,5
independent-gold-v3-20260826,G3-E006,EVT-09868-00162,fcd84faa847f5fde366b15583edebc84222da2e8440a0e1d5c3b041f313d778a,09868,小鹏汽车,新能源汽车,港股,2026-04-23T20:48:07+08:00,True,股东周年大会登记日期,http://static.cninfo.com.cn/finalpage/2026-04-23/1225172357.PDF,程式化披露,out_of_sample,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,6
independent-gold-v3-20260826,G3-E007,EVT-603259-00053,9590f548fa6b19f41e88bfa34f84e4d32961c1642adac968c791f63e563fc449,603259,药明康德,医药,A股,2024-03-19T00:00:00+08:00,False,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,融资,in_sample,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,7
independent-gold-v3-20260826,G3-E008,EVT-00175-00449,b5cb5b52547ee033b4d6c9ad629866088692115e7d1438a3e6688b4830fc08d9,00175,吉利汽车,新能源汽车,港股,2026-07-23T17:48:11+08:00,True,自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产,http://static.cninfo.com.cn/finalpage/2026-07-23/1225439110.PDF,投资与产能,out_of_sample,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,8
independent-gold-v3-20260826,G3-E009,EVT-002594-00151,fad54148a0fe5e6a59ac16b1acbb8e699a0c6b22ec671d2ff7cfaf6757b7485e,002594,比亚迪,新能源汽车,A股,2024-11-02T00:00:00+08:00,False,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,产销数据,in_sample,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,9
independent-gold-v3-20260826,G3-E010,EVT-603986-00407,d8f979e8c646cb076346a2c012c07969a31306c9aba3e0984119bee94571b6c1,603986,兆易创新,芯片半导体,A股,2026-01-23T00:00:00+08:00,False,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,投资与产能,out_of_sample,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,10
